link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1555518212585,"RUA PROJETADA 2, N. SN, LT 19 QD B",CENTRO,"Casa, 0.00 de área total, 75.17 de área privativa, 360.00 de área do terreno.",170000.0,170000.0,0.0,Leilão SFI - Edital Único,,BUJARI,AC,Não
10005120,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10",BAIRRO COHAB,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",53651.0,150000.0,64.24,Venda Online,,CRUZEIRO DO SUL,AC,Não
10005121,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11",BAIRRO COHAB,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",53651.0,150000.0,64.24,Venda Online,,CRUZEIRO DO SUL,AC,Não
10005122,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12",BAIRRO COHAB,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",53651.0,150000.0,64.24,Venda Online,,CRUZEIRO DO SUL,AC,Não
8444411200837,"RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16",TELEGRAFO,"Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",89692.82,190000.0,52.8,Venda Direta Online,,CRUZEIRO DO SUL,AC,Sim
1444420699441,"AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18",CENTRO,"Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.",247659.08,507000.0,51.16,Venda Direta Online,,CRUZEIRO DO SUL,AC,Sim
1555517646018,"RUA DUQUE DE CAXIAS, N. 647, LT 10, QD 11",LIBERDADE,"Casa, 0.00 de área total, 122.17 de área privativa, 300.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",170000.0,170000.0,0.0,Leilão SFI - Edital Único,,EPITACIOLANDIA,AC,Não
1555509099755,"RUA EPITACIO PESSOA, N. SN, RUA PROJETADA",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 1800.00 de área do terreno.",564023.16,885000.0,36.27,Venda Direta Online,,PLACIDO DE CASTRO,AC,Sim
1444400380830,"RUA CAMPINA GRANDE, N. 56,  LT 02, QD A",VILA IVONETE,"Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.",253032.35,592000.0,57.26,Venda Online,,RIO BRANCO,AC,Sim
1555528608775,"RUA ARI RODRIGUES, N. SN,",ABRAAO ALAB,"Terreno, 0.00 de área total, 0.00 de área privativa, 630.00 de área do terreno.",167932.31,310000.0,45.83,Venda Direta Online,,RIO BRANCO,AC,Sim
