link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444405471964,"RUA PROJETADA F, N. 55,",BOA VISTA,"Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",71147.36,182000.0,60.91,Venda Direta Online,,ARAPIRACA,AL,Não
8444402891997,"RUA EXISTENTE, N. 703, LT 03 QD E",BOA VISTA,"Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",113760.6,238000.0,52.21,Venda Direta Online,,ARAPIRACA,AL,Sim
8444435648374,"RUA EM PROJETO H, N. SN, LT 01, QD J",SENADOR NILO COELHO,"Terreno, 0.00 de área total, 0.00 de área privativa, 273.90 de área do terreno.",41389.88,75000.0,44.82,Venda Online,,ARAPIRACA,AL,Não
8444425970834,"PRACA LUIZ PEREIRA LIMA, N. SN, QD B LT 10",SENADOR NILO COELHO,"Terreno, 0.00 de área total, 0.00 de área privativa, 172.00 de área do terreno.",55967.56,96676.18,42.11,Venda Direta Online,,ARAPIRACA,AL,Não
8555507349060,"RUA ANTÔNIO SATURNINO DE ALMEIDA, N. 61, LT 15, QD E",BOA VISTA,"Casa, 0.00 de área total, 88.69 de área privativa, 176.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",106074.43,179000.0,40.75,Venda Direta Online,,ARAPIRACA,AL,Não
8444423066898,"RUA SOB CÓDIGO MUNICIPAL 08/416, N. 35, QD T LT 03",MASSARANDUBA,"Casa, 70.61 de área total, 70.61 de área privativa, 135.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",98370.7,166000.0,40.75,Venda Direta Online,,ARAPIRACA,AL,Não
1444408877645,"RUA PEDRO GALDINO DOS SANTOS, N. 19, LT 01 QD F",MASSARANDUBA,"Casa, 249.73 de área total, 80.30 de área privativa, 319.73 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",268595.33,432255.15,37.87,Venda Direta Online,,ARAPIRACA,AL,Sim
10286369,"AVENIDA RIO BRANCO, N. 712",CENTRO,"Comercial, 0.00 de área total, 131.04 de área privativa, 0.00 de área do terreno.",499654.41,784000.0,36.27,Venda Direta Online,,ARAPIRACA,AL,Não
1444416570448,"AVENIDA NOSSA SENHORA DAS GRACAS, N. 179,",BATINGAS,"Comercial, 0.00 de área total, 162.00 de área privativa, 180.00 de área do terreno.",244609.85,383813.53,36.27,Venda Direta Online,,ARAPIRACA,AL,Não
8005601027382,"RUA SALVELINA LEITE, N. 50, QD B, LT 12",PLANALTO,"Casa, 0.00 de área total, 82.35 de área privativa, 210.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",170000.0,170000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8444423586611,"RUA LUIZ TERTULIANO DA SILVA, N. 44, LT 10 QD G",BOA VISTA,"Casa, 66.35 de área total, 66.35 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",165000.0,165000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
1444401561022,"RUA PROJETADA C, N. 304, LT 33  QD E",VERDES CAMPOS,"Casa, 83.02 de área total, 83.02 de área privativa, 144.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",190000.0,190000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8444417848650,"RUA JOAO JOSE PEREIRA, N. 196, C08",OLHO D'AGUA DOS CAZUZINHAS,"Casa, 79.73 de área total, 79.73 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",178000.0,178000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8444424539641,"RUA ANTONIA LEAO DE OLIVEIRA, N. 98, LT 10 QD A",BOM SUCESSO,"Casa, 92.09 de área total, 92.09 de área privativa, 168.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",179000.0,179000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8787705350316,"AVENIDA PIO XII, N. 889, C10",BOM SUCESSO,"Casa, 50.66 de área total, 50.66 de área privativa, 127.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",162000.0,162000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8444407769472,"RUA DICIONARISTA AURELIO BUARQUE DE HOLANDA, N. 248, LT 13 QD A",MASSARANDUBA,"Casa, 0.00 de área total, 83.38 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",197000.0,197000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
1444419341415,"RUA JOSE FIRMINO NETO, N. 169, LOTE 16 QUADRA A",VERDES CAMPOS,"Casa, 138.07 de área total, 138.07 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.",402142.72,304000.0,0.0,Leilão SFI - Edital Único,,ARAPIRACA,AL,Não
8444407838229,"RUA PROJETADA, N. SN, LT 1A QD A",JOSE PAULINO,"Casa, 42.00 de área total, 42.00 de área privativa, 49.10 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",48473.63,80000.0,39.41,Venda Direta Online,,ATALAIA,AL,Não
