link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1555528096197,"R JULIO LOBO, N. 173,",APARECIDA,"Casa, 0.00 de área total, 84.00 de área privativa, 812.42 de área do terreno,  4 qto(s), varanda, 1 sala(s), cozinha.",65432.81,125000.0,47.66,Venda Direta Online,,AUTAZES,AM,Não
10222108,"RUA 03, N. 00, ST 05, QD 07",JAIR MENEZES TUPINAM,"Casa, 0.00 de área total, 324.00 de área privativa, 360.00 de área do terreno.",265186.47,438000.0,39.46,Venda Direta Online,,AUTAZES,AM,Não
10147353,"AVENIDA SILVERIO NERY, N. S/N",CENTRO,"Loja, 0.00 de área total, 79.20 de área privativa, 0.00 de área do terreno.",122020.07,365000.0,66.57,Venda Direta Online,,BORBA,AM,Não
8444412162815,"RUA PROJETADA (AV SILVÉRIO NERY), N. SN, LT 03",IPIRANGA,"Casa, 0.00 de área total, 60.00 de área privativa, 126.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",45722.39,92000.0,50.31,Venda Direta Online,,BORBA,AM,Não
8444418739278,"RUA PROJETADA A, ESTRADA BORBA/MAPIA, N. 07,",CENTRO,"Casa, 0.00 de área total, 76.00 de área privativa, 125.96 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",63157.61,54500.0,0.0,Leilão SFI - Edital Único,,BORBA,AM,Não
8444406059471,"RUA LUIZ PEDRO FADOUL, N. SN, ANTIGA RUA LO 4",IPIRANGA,"Terreno, 0.00 de área total, 0.00 de área privativa, 405.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.",100334.13,83000.0,0.0,Leilão SFI - Edital Único,,BORBA,AM,Não
1444405652839,"RUA LUIZ PEDRO FADOUL - ANTIGA RUA- LO-4, N. 01,",IPIRANGA,"Casa, 0.00 de área total, 405.00 de área privativa, 405.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.",176528.11,83000.0,0.0,Leilão SFI - Edital Único,,BORBA,AM,Não
8444408437317,"BECO EDUARDO RIBEIRO, N. SN,",CENTRO,"Casa, 0.00 de área total, 86.00 de área privativa, 117.30 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",47867.71,79000.0,39.41,Licitação Aberta,,COARI,AM,Não
1555526643620,"RUA ALONSO BARBOSA, N. SN, QD 37 LT 03",CENTRO,"Casa, 0.00 de área total, 180.00 de área privativa, 1125.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 5 vaga(s) de garagem.",60049.21,154000.0,61.01,Venda Direta Online,,GUAJARA,AM,Não
8787714661736,"RUA DO INGLÊS, N. SN, QD 17 LT 31 ESTRADA CARLOS BRAGA KM 08",EST CARLOS BRAGA,"Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",100483.74,190000.0,47.12,Venda Direta Online,,IRANDUBA,AM,Sim
8787711213570,"RUA LAGO DO GUEDES, N. SN, LT 29 QD 37",LOT NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",96000.32,180000.0,46.67,Venda Online,,IRANDUBA,AM,Não
1787701025820,"R. LAGO DO TESTE, N. 14, QD 38 LT 14 RES GOLDEN NOVA AMAZONAS",LOT NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",105343.43,196900.0,46.5,Venda Direta Online,,IRANDUBA,AM,Sim
8787711334327,"RUA LAGO DO GUEDES, N. 14, LOTE 14 QUADRA 36",LOT NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",107108.11,196900.0,45.61,Venda Direta Online,,IRANDUBA,AM,Sim
8787714315161,"RUA AÇUTUBA, N. SN, LOTE 28 QUADRA 12",LOT NOVA AMAZONAS I,"Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",106225.67,190000.0,44.1,Venda Direta Online,,IRANDUBA,AM,Não
8787715661624,"ESTRADA CARLOS BRAGA KM 8, (RUA UÇUTUBA), N. 45, QD. 43 N. 45",LOT NOVA AMAZONAS I,"Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",84892.14,145000.0,41.46,Venda Direta Online,,IRANDUBA,AM,Não
8787711364374,"ESTRADA CARLOS BRAGA KM 08, N. SN, RUA LAGO DO GUEDES LT 27 D 38",NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 4 vaga(s) de garagem.",106341.1,179450.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787711398864,"ESTRADA CARLOS BRAGA KM 08, N. SN, RUA LAGO DO TESTE  LT 20 QD 40",LOT NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",97778.11,165000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787714129759,"RUA ACUTUBA, N. SN, LT 24 QD 12",LOT NOVA AMAZONAS I,"Casa, 0.00 de área total, 54.09 de área privativa, 200.00 de área do terreno.",107852.22,182000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787714264702,"RUA PARICATUBA, N. SN, LT 22 QD 13 KM 08",LOT NOVA AMAZONAS I,"Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",97185.51,164000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787714466607,"RUA LAGO DO TESTE, N. SN, QD 37, LT 13",LOT NOVA AMAZONAS I,"Casa, 0.00 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s).",107852.22,182000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787714509934,"RUA ACAJATUBA, N. 10, QD 41",KM 08,"Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",106667.03,180000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8787716479250,"ESTRADA CARLOS BRAGA, N. SN, QD 42 LT 06 KM 08 RUA PARICATUBA",LOT NOVA AMAZONAS I,"Casa, 0.00 de área total, 54.09 de área privativa, 200.00 de área do terreno.",107852.22,182000.0,40.75,Venda Direta Online,,IRANDUBA,AM,Não
8555529892815,"ESTRADA MANOEL URBANO, N. S/N, Apto 103, BL P",ZONA RURAL,"Apartamento, 59.86 de área total, 59.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",123965.21,205100.0,39.56,Venda Direta Online,,IRANDUBA,AM,Não
8787711364609,"RUA LAGO DO MUNDO, N. SN, LT 25 QD 35 KM 08",LOT NOVA AMAZONAS I,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",111514.29,184500.0,39.56,Venda Direta Online,,IRANDUBA,AM,Não
8787711809589,"RUA LAGO DOS GUEDES, N. 09, QUADRA 35",EST CARLOS BRAGA,"Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",129404.93,214100.0,39.56,Venda Direta Online,,IRANDUBA,AM,Não
8787714266829,"RUA JANAUARIZINHO, N. SN, LT 25 QD 16 KM 08",LOT NOVA AMAZONAS I,"Casa, 54.09 de área total, 54.09 de área privativa, 200.55 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",114838.57,190000.0,39.56,Venda Direta Online,,IRANDUBA,AM,Não
