link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8555537855095,"AVENIDA CONSELHEIRO JUNQUEIRA, N. SN, QD Q LT 06",CATU,"Casa, 50.02 de área total, 50.02 de área privativa, 136.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",100741.08,170000.0,40.75,Licitação Aberta,,ALAGOINHAS,BA,Não
1555529342515,"RUA DOS EUCALIPTOS, N. 273,",BARREIRO,"Casa, 66.00 de área total, 66.00 de área privativa, 195.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",106583.08,177000.0,39.79,Venda Direta Online,,ALAGOINHAS,BA,Não
1444406192505,"RUA G, N. 189",LOT PORTO FELIZ,"Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",82786.76,137000.0,39.58,Licitação Aberta,,ALAGOINHAS,BA,Não
1555535804258,"RUA SAO GABRIEL, N. SN,",NOVA BRASILIA,"Terreno, 0.00 de área total, 0.00 de área privativa, 20000.00 de área do terreno.",560071.81,878800.0,36.27,Venda Direta Online,,ALAGOINHAS,BA,Não
1787700086957,"RUA CONSELHEIRO JUNQUEIRA, N. SN, CS 15",CATU,"Casa, 50.02 de área total, 50.02 de área privativa, 136.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",149000.0,149000.0,0.0,Leilão SFI - Edital Único,,ALAGOINHAS,BA,Não
8787711584633,"RUA CONSELHEIRO JUNQUEIRA, N. 294,",CATU,"Casa, 0.00 de área total, 40.50 de área privativa, 127.10 de área do terreno.",135989.15,134500.0,0.0,Leilão SFI - Edital Único,,ALAGOINHAS,BA,Não
8787701176168,"RUA CONSELHEIRO JUNQUEIRA, N. SN, QD K LT 12",CATU,"Casa, 50.02 de área total, 50.02 de área privativa, 136.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",122918.1,115000.0,0.0,Leilão SFI - Edital Único,,ALAGOINHAS,BA,Não
8444413392571,"RUA ANTONIO BRITO, N. 257, QUADRA 25",CIDADE JARDIM,"Casa, 69.92 de área total, 69.92 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",83598.59,110000.0,24.01,Leilão SFI - Edital Único,,BARRA DO CHOCA,BA,Não
8444409559076,"RUA ESTRELA DALVA, N. 159, LT 15A QD 27",SOMBRA DA TARDE,"Casa, 67.75 de área total, 67.75 de área privativa, 125.00 de área do terreno.",333055.66,167807.27,0.0,Leilão SFI - Edital Único,,BARREIRAS,BA,Não
1555532275017,"RUA OTACILIO MONTEIRO DA FRANCA, N. S/N, LT 08, QD 40",MORADA DA LUA,"Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.",182829.61,82000.0,0.0,Venda Direta Online,,BARREIRAS,BA,Não
8444407376551,"RUA TOM JOBIM, N. 47, CS 002 QD 29 LT P 01 P 02 P 03A",BANDEIRANTES,"Casa, 57.00 de área total, 57.00 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",454688.78,175000.0,0.0,Leilão SFI - Edital Único,,BARREIRAS,BA,Não
1444407517793,"LOTEAMENTO JUREMA, N. SN, QUADRA IV",JUREMA,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",61768.57,118000.0,47.66,Venda Online,,BOM JESUS DA LAPA,BA,Não
8444433173220,"RUA LAS VEGAS, N. 58, LT 20A QD 24",LOTEAMENTO MARIANA,"Casa, 86.35 de área total, 86.35 de área privativa, 164.37 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",174506.78,300000.0,41.84,Venda Direta Online,,BOM JESUS DA LAPA,BA,Sim
8444423924410,"RUA VI, N. 114, LT 10 QD A-1",RES SAO FRANCISCO,"Casa, 0.00 de área total, 72.90 de área privativa, 281.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",114838.57,190000.0,39.56,Venda Direta Online,,BOM JESUS DA LAPA,BA,Não
1555524299778,"RUA C, N. 56, QD 02 LT 04",NOSSA SENHORA DA SOLEDADE,"Casa, 192.00 de área total, 192.00 de área privativa, 300.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",520000.0,520000.0,0.0,Leilão SFI - Edital Único,,BOM JESUS DA LAPA,BA,Não
8555505288306,"RUA NOVA ABRANTES, N. S/N, CASA 02 - 1º ANDAR",VILA DE ABRANTES (ABRANTES),"Casa, 0.00 de área total, 75.38 de área privativa, 631.86 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",68153.98,214500.0,68.23,Venda Direta Online,,CAMACARI,BA,Não
1444406596061,"AVENIDA ATLANTICA, N. 41, .",JAUA (ABRANTES),"Casa, 0.00 de área total, 223.48 de área privativa, 237.27 de área do terreno,  2 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha.",309573.84,780000.0,60.32,Venda Direta Online,,CAMACARI,BA,Não
1444419237928,"RUA SANTA EFIGENIA, N. SN, SITIO SANTA EFIGENIA",AREMBEPE ABRANTES,"Terreno, 0.00 de área total, 0.00 de área privativa, 19960.00 de área do terreno.",595951.02,1394300.0,57.26,Venda Direta Online,,CAMACARI,BA,Não
1444418161723,"VIA 00, N. SN, QD.39 LT.01",MONTE GORDO,"Casa, 0.00 de área total, 111.00 de área privativa, 5492.60 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",369778.93,757000.0,51.16,Venda Direta Online,,CAMACARI,BA,Sim
8555535374871,"RUA SUCUPIO, N. S/N, Apto 104, BL 03",CATU DE ABRANTES (ABRANTES),"Apartamento, 72.31 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",81379.36,160000.0,49.14,Venda Online,,CAMACARI,BA,Não
8787713079316,"RUA DA BELGICA, N. SN, Apto 001, BL 23",VILA DE ABRANTES,"Apartamento, 98.06 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",96533.65,181000.0,46.67,Venda Online,,CAMACARI,BA,Sim
8787709853169,"RUA LAGOA BRANCA, N. SN, Apto 302, BL 05",LAGOA BRANCA,"Apartamento, 80.61 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",75275.9,139000.0,45.85,Venda Online,,CAMACARI,BA,Não
8787713129879,"RUA DA BELGICA, N. S/N, Apto 201, BL 5",VILA DE ABRANTES,"Apartamento, 0.00 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",98518.85,175000.0,43.71,Venda Direta Online,,CAMACARI,BA,Sim
1787700181569,"RUA DO BOSQUE, N. SN, Apto 503, BL 21",BOA UNIAO (ABRANTES),"Apartamento, 41.90 de área total, 41.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",104232.5,184000.0,43.36,Venda Direta Online,,CAMACARI,BA,Não
8555526196583,"RUA LATERAL DE DENTRO, N. SN, Apto 204, BL 04",INDUSTRIAL,"Apartamento, 62.55 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",77622.6,134000.0,42.08,Licitação Aberta,,CAMACARI,BA,Não
8787705974379,"RUA COLONIA BOA UNIAO, N. SN, Apto 303, BL 04",BOA UNIAO (ABRANTES),"Apartamento, 77.13 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",77622.6,134000.0,42.08,Venda Direta Online,,CAMACARI,BA,Não
8787707298460,"RUA COLONIA BOA UNIAO, N. SN, Apto 304, BL 08",BOA UNIAO (ABRANTES),"Apartamento, 77.13 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",79890.28,137914.7,42.08,Venda Direta Online,,CAMACARI,BA,Não
8787701117226,"NUCLEO COL BOA UNIAO, N. 0, Apto 203, LOT 09 BL13",CATU DE ABRANTES (ABRANTES),"Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",78781.14,136000.0,42.08,Venda Direta Online,,CAMACARI,BA,Não
8555528610069,"RUA DANDARA, N. SN, Apto 02, BL 03",FATIMA,"Apartamento, 60.14 de área total, 60.14 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), 1 lavabo(s), cozinha.",90746.77,155000.0,41.46,Venda Direta Online,,CAMACARI,BA,Não
8787700721812,"RUA SAO FRANCISCO DE ASSIS, N. 1, Apto 303, BL 11 TIPO A",LAMA PRETA,"Apartamento, 50.04 de área total, 43.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",83135.75,142000.0,41.46,Licitação Aberta,,CAMACARI,BA,Não
8787700886048,"RUA SAO FRANCISCO DE ASSIS, N. 01, Apto 403, BL 19 TIPO D",LAMA PRETA,"Apartamento, 54.88 de área total, 47.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",86063.06,147000.0,41.46,Licitação Aberta,,CAMACARI,BA,Não
8787702293311,"RUA SAO FRANCISCO DE ASSIS, N. 1, Apto 204, BL 12 TIPO A",LAMA PRETA,"Apartamento, 50.04 de área total, 43.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",83135.75,142000.0,41.46,Licitação Aberta,,CAMACARI,BA,Não
8787712805943,"RUA DA BELGICA, N. S/N, Apto 002, BL 01",VILA DE ABRANTES,"Apartamento, 98.06 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",86648.52,148000.0,41.46,Venda Direta Online,,CAMACARI,BA,Não
8787713094994,"RUA DA BELGICA, N. SN, Apto 002, BL 19",VILA DE ABRANTES,"Apartamento, 98.06 de área total, 40.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",88306.6,150832.07,41.46,Venda Direta Online,,CAMACARI,BA,Não
