link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1444417119316,"RUA SDO, N. 324, QUADRA 03 LOTE 15",TRAV MONGUBAS-SEDE,"Casa, 76.75 de área total, 76.75 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",170000.0,170000.0,0.0,Leilão SFI - Edital Único,,ACARAU,CE,Não
8444425496245,"RUA SDO 248  RUA PROJETADA 03, N. 40, QD 2 LT 31",MORADAS DO OLIMPO,"Casa, 84.00 de área total, 84.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",153140.71,140000.0,0.0,Leilão SFI - Edital Único,,ACARAU,CE,Não
8555535630916,"RUA ERNESTO BENTO DE FREITA, N. 856, CS 15 VAGA 15",TAPERA,"Casa, 0.00 de área total, 77.00 de área privativa, 89.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",84540.86,152000.0,44.39,Venda Direta Online,,AQUIRAZ,CE,Não
1444406878245,"RUA A, N. SN, LT 12 13 28 E 29 QD 02",PAU POMBO,"Casa, 445.00 de área total, 445.00 de área privativa, 1584.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",392027.95,665000.0,41.05,Venda Direta Online,,AQUIRAZ,CE,Sim
8444427341532,"AVENIDA  ANCHOVA, N. 949, Apto 104,",CHACARAS DA PRAINHA,"Apartamento, 60.82 de área total, 51.05 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",92444.76,156000.0,40.75,Licitação Aberta,,AQUIRAZ,CE,Não
8444417625074,"RUA A, N. 84-B, LT 09, QD B",PLANAL NOVA AQUIRAZ,"Casa, 0.00 de área total, 69.48 de área privativa, 195.18 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",132970.97,220000.0,39.56,Licitação Aberta,,AQUIRAZ,CE,Não
8787715831708,"RUA VIA LOCAL D8, N. 428,",AQUIRAZ,"Casa, 65.18 de área total, 65.18 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",126926.84,210000.0,39.56,Venda Direta Online,,AQUIRAZ,CE,Não
8444426222130,"RUA ROSA, N. 53, TERRENO 07 LT 01 QD I",SANTA MARIA,"Casa, 0.00 de área total, 73.30 de área privativa, 198.00 de área do terreno.",185000.0,185000.0,0.0,Leilão SFI - Edital Único,,AQUIRAZ,CE,Não
10278239,"RODVIA CE 176(EST QUE LIGA ARATAMA A ASSARE), N. SN, VILA ARATAMA",CENTRO,"Gleba, 0.00 de área total, 0.00 de área privativa, 16333.00 de área do terreno.",265329.87,427000.0,37.87,Venda Direta Online,,ASSARE,CE,Sim
1444407360835,"QUADRA B-3, N. SN, LOTE 19",TUPINAMBA,"Casa, 0.00 de área total, 264.34 de área privativa, 365.22 de área do terreno,  2 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.",624568.01,980000.0,36.27,Licitação Aberta,,BARBALHA,CE,Sim
1444400213659,"RUA 13 C, N. 13, LT 13 QD 15",MORRO BRANCO,"Casa, 0.00 de área total, 242.66 de área privativa, 900.00 de área do terreno.",462594.58,725850.0,36.27,Licitação Aberta,,BEBERIBE,CE,Sim
8444411658809,"RUA LUIZ UCHOA VIANA, N. 201,",BAIRRO TIBIQUARI,"Casa, 78.00 de área total, 78.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",75305.5,130000.0,42.08,Licitação Aberta,,BOA VIAGEM,CE,Não
10284146,"RUA FREI COSMO, N. S/N, Unidade SN",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 900.00 de área do terreno.",80732.2,133600.0,39.58,Venda Online,,CANINDE,CE,Não
1444413200496,"RUA JOSE PEREIRA DA CRUZ, N. 1848, LOTE 04 QUADRA 10",CACHOEIRA DA PASTA,"Casa, 83.00 de área total, 83.00 de área privativa, 150.00 de área do terreno.",162402.92,163000.0,0.37,Leilão SFI - Edital Único,,CANINDE,CE,Não
1444414598795,"RUA RAIMUNDO DE SOUSA FREITAS, N. SN, LT 16, QD E",SITIO CEDRON,"Casa, 0.00 de área total, 131.67 de área privativa, 384.53 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",27266.42,45000.0,39.41,Venda Direta Online,,CARIRIACU,CE,Não
