link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
10137654,"SBS QUADRA 1 BL K LOJA, N. 05",SETOR BANCARIO SUL,"Loja, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.",119638.08,475000.0,74.82,Licitação Aberta,,BRASILIA,DF,Não
10215739,"RODOVIA BR-020, N. 00, BL B, LT 12, ENTRE QUADRA 101/102",ALTO DA BOA VISTA (SOBRADINHO),"Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.",223097.71,395000.0,43.52,Venda Online,,BRASILIA,DF,Não
1444418421040,"QUADRA 8, N. SN, CJ J QD 08 LT 22",Gama,"Casa, 60.00 de área total, 60.00 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",57373.12,95000.0,39.61,Licitação Aberta,,BRASILIA,DF,Não
8787709266166,"QUADRA 101, N. SN, Apto 508, LT 04 CJ 04 BL B",SAMAMBAIA,"Apartamento, 45.64 de área total, 32.17 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",112446.6,186042.5,39.56,Licitação Aberta,,BRASILIA,DF,Não
10278243,"SETOR SRTVN LT P, N. S/N, CJ P, LOJA SS-1",ASA NORTE,"Sala, 0.00 de área total, 600.00 de área privativa, 0.00 de área do terreno.",1997980.33,3300000.0,39.46,Venda Direta Online,,BRASILIA,DF,Não
8787714712616,"AVENIDA BURITI SUBCENTRO URBANO 400/600, N. SN, Apto 448, LOTE 5",RECANTO DAS EMAS,"Apartamento, 74.33 de área total, 45.04 de área privativa, 0.00 de área do terreno.",146340.78,239000.0,38.77,Licitação Aberta,,BRASILIA,DF,Não
1787701252907,"QUADRA 501 DO ITAPOA PARQUE, N. SN, Apto 302, BL A2 LT 06 CJ 01 QD 501",ITAPOA PARQUE (ITAPOA),"Apartamento, 46.40 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",98816.7,160000.0,38.24,Licitação Aberta,,BRASILIA,DF,Não
1787702135025,"QUADRA 501 CONJUNTO 2, N. SN, Apto 301, LT 01 BL E2",ITAPOA PARQUE (ITAPOA),"Apartamento, 63.48 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",111168.79,180000.0,38.24,Licitação Aberta,,BRASILIA,DF,Não
1444420706952,"QUADRA QN 225, N. SN, LT 01",SAMAMBAIA,"Casa, 150.00 de área total, 150.00 de área privativa, 168.66 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.",157209.5,253000.0,37.87,Venda Direta Online,,BRASILIA,DF,Sim
1444400617326,"QNN-03, N. S/N, CONJUNTO P, LT 10",CEILANDIA NORTE,"Casa, 0.00 de área total, 340.00 de área privativa, 250.00 de área do terreno, 4 vaga(s) de garagem.",397684.12,640000.0,37.87,Venda Direta Online,,BRASILIA,DF,Não
10300590,"SRTVN - LOTE P, N. 00, LJ SS-35, 1 SS, CJ P",ASA NORTE,"Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.",146026.21,232000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10300591,"SRTVN - LOTE P, N. 00, LJ SS-34, 1 SS, CJ P",ASA NORTE,"Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.",146026.21,232000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10300792,"SRTVN - LOTE P, N. 00, LJ SS-36, 1 SS, CJ P",ASA NORTE,"Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.",146026.21,232000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290993,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 327",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.90 de área privativa, 0.00 de área do terreno.",133437.74,212000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290994,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 333",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.33 de área privativa, 0.00 de área do terreno.",132178.89,210000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290995,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 325",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.33 de área privativa, 0.00 de área do terreno.",132178.89,210000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290996,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 329",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.90 de área privativa, 0.00 de área do terreno.",133437.74,212000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290997,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 323",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.33 de área privativa, 0.00 de área do terreno.",132178.89,210000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10290998,"CSB 2, N. 00, LTS 1 A 4, TR B, SL 331",TAGUATINGA SUL,"Sala, 0.00 de área total, 32.33 de área privativa, 0.00 de área do terreno.",132178.89,210000.0,37.06,Venda Direta Online,,BRASILIA,DF,Não
10289406,"SCS - QUADRA 1, N. 00, SL 1201, PROJEÇÃO 5 (LOTE)",ASA SUL,"Sala, 0.00 de área total, 96.57 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",242816.75,381000.0,36.27,Licitação Aberta,,BRASILIA,DF,Não
