link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1444408685975,"RUA SETE DE SETEMBRO, N. 38, PAV 1 IMOVEL A",CONCEICAO,"Sobrado, 0.00 de área total, 110.51 de área privativa, 243.30 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.",495000.0,495000.0,0.0,Leilão SFI - Edital Único,,ALEGRE,ES,Não
1444415971660,"RUA PALMEIRAS, N. SN, QD D LT 2",Iriri,"Casa, 208.75 de área total, 208.75 de área privativa, 276.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",721551.38,655000.0,0.0,Leilão SFI - Edital Único,,ANCHIETA,ES,Não
10208964,"AVENIDA ARISTÓTELES MENICUCCI, N. 76 A 120",WALDIR FURTADO AMORIM,"Galpão, 0.00 de área total, 10480.15 de área privativa, 11602.38 de área do terreno.",6522421.72,12502000.0,47.83,Venda Direta Online,,CACHOEIRO DE ITAPEMIRIM,ES,Não
1444423106697,"RUA SEBASTIAO SOUZA SIMOES, N. 29, LT 01 QD B",JARDIM ITAPEMIRIM,"Casa, 128.85 de área total, 128.85 de área privativa, 245.20 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",550002.24,863000.0,36.27,Licitação Aberta,,CACHOEIRO DE ITAPEMIRIM,ES,Sim
8555512115314,"RUA WILSON DALFIOR SANTIAGO, N. 11 A 23, Apto 704, TORRE B",WALDIR FURTADO AMORIM,"Apartamento, 74.12 de área total, 56.82 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",254000.0,254000.0,0.0,Leilão SFI - Edital Único,,CACHOEIRO DE ITAPEMIRIM,ES,Não
8444427665559,"RUA REI DARIO L, N. SN, LT 24 QD 20",VALE DOS REIS,"Terreno, 0.00 de área total, 0.00 de área privativa, 334.75 de área do terreno.",52308.74,90356.08,42.11,Licitação Aberta,,CARIACICA,ES,Não
8444429215313,"RUA REI SERVIO TULIO, N. SN, LT 18 QD 21",VALE DOS REIS,"Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.",54418.27,94000.0,42.11,Licitação Aberta,,CARIACICA,ES,Não
8787709515913,"RUA SAO PAULO APOSTOLO, N. 23, Apto 402, BLOCO 14 VG 147",TUCUM,"Apartamento, 41.85 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",134287.99,222179.0,39.56,Licitação Aberta,,CARIACICA,ES,Não
8787710212376,"RUA TREZE, N. 160, Apto 101, BLOCO 01 VG 210",JARDIM DE ALAH,"Apartamento, 76.02 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",130553.32,216000.0,39.56,Licitação Aberta,,CARIACICA,ES,Não
8787714785460,"RUA TREZE, N. 160, Apto 203, BL 07",JARDIM DE ALAH,"Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",190000.0,190000.0,0.0,Leilão SFI - Edital Único,,CARIACICA,ES,Não
10150159,"AVENIDA DESEMBARGADOR LOURIVAL DE ALMEIDA, N. 330, Apto 101",CENTRO,"Apartamento, 0.00 de área total, 130.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",791000.0,791000.0,0.0,Leilão SFI - Edital Único,,GUARAPARI,ES,Não
8444406411400,"RUA MARECHAL DEODORO, N. 51, LOTE 02B",VINHÁTICO,"Casa, 62.00 de área total, 62.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",78525.22,145000.0,45.85,Venda Online,,MONTANHA,ES,Não
8444412258138,"RUA DEZENOVE, N. 39, Apto 105, 02 PAVIMENTOS",JARDIM BELA VISTA,"Apartamento, 0.00 de área total, 98.15 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",147825.6,261000.0,43.37,Venda Direta Online,,SERRA,ES,Não
