link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444415706271,"QUADRA 07, N. SN, Apto 102, LT 04 LOT CONTINUAÇÃO LINDO DE HORIZON",LINDO HORIZONTE,"Apartamento, 108.50 de área total, 55.59 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",87829.74,150017.57,41.46,Venda Direta Online,,ABADIANIA,GO,Não
8444419318748,"RUA 18, Apto 201, QUADRA 72, LOTE 04",JARDIM DA BARRAGEM VI,"Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",33192.02,160000.0,79.26,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444429661305,"QUADRA 106, N. SN, LT 08, RUA ANGICO",JARDIM AMERICA IV,"Casa, 0.00 de área total, 67.92 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",35537.24,157000.0,77.37,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8787703011166,"RUA 18, N. SN, Apto 202, QD 72, LT 08",JARDIM DA BARRAGEM VI,"Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.",31186.7,132031.49,76.38,Venda Direta Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444420968483,"RUA RENOVACAO, N. SN, Apto 102, LT 05, QD 48, CJ C",CHACARAS QUEDAS DO DESCOBERTO,"Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",36961.18,145500.0,74.6,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444415303533,"QUADRA 9, N. S/N, QD 09 LT 06 CS 05",MANSOES IMPERATRIZ,"Casa, 0.00 de área total, 90.51 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.",33505.99,123000.0,72.76,Venda Direta Online,,AGUAS LINDAS DE GOIAS,GO,Não
8787706865670,"RUA 18, N. SN, Apto 202, QD 72, LT 02",JARDIM DA BARRAGEM VI,"Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",39043.85,135000.0,71.08,Venda Direta Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444418101320,"LOTE 03 DA QUADRA 31 DO LOTEAMENTO JARDIM SANTA LU, N. SN, Apto 102",JARDIM SANTA LUCIA,"Apartamento, 72.00 de área total, 53.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",42429.63,145000.0,70.74,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444426228570,"QUADRA 85 CONJUNTO A, N. SN, Apto 101, 101 PAV TÉRREO RUA 38 LT 11",PARQUE DA BARRAGEM SETOR 11,"Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",42716.28,142000.0,69.92,Venda Direta Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444422965813,"QUADRA 85, N. SN, Apto 201, CONJ A, RUA 38, BL C, LT 11",PARQUE DA BARRAGEM SETOR 11,"Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",41331.34,136000.0,69.61,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444421137925,"QUADRA 48  -  RES CONQUISTA IV, N. SN, Apto 101, LT 05 CJ MOD C RUA RENOVACAO",CHACARAS QUEDAS DO DESCOBERTO,"Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",39507.9,130000.0,69.61,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8787706575273,"QUADRA 72, N. SN, Apto 201, LT 05 RUA 18",JARDIM DA BARRAGEM VI,"Apartamento, 0.00 de área total, 74.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",46404.02,151000.0,69.27,Venda Online,,AGUAS LINDAS DE GOIAS,GO,Não
8444416007245,"QUADRA 4, N. SN, Apto 202, BL A",JARDIM SANTA LUCIA,"Apartamento, 0.00 de área total, 52.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",45943.05,149500.0,69.27,Venda Direta Online,,AGUAS LINDAS DE GOIAS,GO,Não
