link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1444405622751,"RUA BARRA DO CORDA, N. 1, Q 15 LT 01 A",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 3879.92 de área do terreno.",317665.33,989191.42,67.89,Venda Direta Online,,ACAILANDIA,MA,Sim
1444405636175,"RUA PROJETADA I, N. SN, LT 005B, QD 005, AR B, 3KM MD BR 222",VILA ILDEMAR,"Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.",226851.47,479000.0,52.65,Venda Direta Online,,ACAILANDIA,MA,Sim
1444402740583,"RUA DAS CHÁCARAS, N. SN, LT 13, QD 03",JARDIM BELA VISTA,"Terreno, 0.00 de área total, 0.00 de área privativa, 3088.58 de área do terreno.",474273.36,875500.0,45.83,Venda Direta Online,,ACAILANDIA,MA,Sim
10214479,"AVENIDA JOÃO CASTELO, N. 134, PEQUIÁ",.,"Comercial, 0.00 de área total, 140.36 de área privativa, 207.93 de área do terreno.",136285.76,248000.0,45.05,Venda Direta Online,,ACAILANDIA,MA,Não
1444406164366,"RUA DAS OLIVEIRAS, N. SN, QD18 LT3A-2",MONTE SINAI,"Terreno, 0.00 de área total, 0.00 de área privativa, 1409.40 de área do terreno.",223662.52,396000.0,43.52,Venda Direta Online,,ACAILANDIA,MA,Sim
1444405623545,"ROD BR 222, N. SN, KM 07",VILA ILDEMAR,"Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.",265568.86,463000.0,42.65,Venda Online,,ACAILANDIA,MA,Não
1444421918996,"RUA 14, N. 10, QUADRA 46",JARDIM DE ALAH,"Casa, 346.46 de área total, 346.46 de área privativa, 330.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",398436.94,641211.54,37.87,Venda Online,,ACAILANDIA,MA,Sim
1444406138144,"RUA DAS OLIVEIRAS, N. SN, LT 1A-2 QD 18",MONTE SINAI,"Terreno, 0.00 de área total, 0.00 de área privativa, 1395.17 de área do terreno.",208185.68,326660.92,36.27,Licitação Aberta,,ACAILANDIA,MA,Não
1444406158277,"RUA 08, N. SN, QD 18 LT 1A1",MONTE SINAI,"Terreno, 0.00 de área total, 0.00 de área privativa, 1395.17 de área do terreno.",223060.01,350000.0,36.27,Venda Direta Online,,ACAILANDIA,MA,Sim
8444421202107,"RUA MANOEL VIANA, N. 42,",MANGUEIRÃO,"Casa, 61.75 de área total, 61.75 de área privativa, 270.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",56999.75,105000.0,45.72,Venda Direta Online,,APICUM-ACU,MA,Não
