link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8555507642727,"RUA DO CORREDOR, N. SN,  LT 325 QD 062",GAMELEIRA,"Casa, 37.21 de área total, 37.21 de área privativa, 74.97 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",25560.07,44000.0,41.91,Licitação Aberta,,AGUAS FORMOSAS,MG,Não
8444403570957,"RUA CANAA, N. 189, LT 53 QD L",BETEL,"Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",49647.34,176000.0,71.8,Venda Direta Online,,AIMORES,MG,Não
8555510461029,"RUA ANTONIO FERNANDES TIMBIRA, N. 230,",PORTO NOVO,"Casa, 54.82 de área total, 54.82 de área privativa, 48.88 de área do terreno.",70000.0,70000.0,0.0,Leilão SFI - Edital Único,,ALEM PARAIBA,MG,Não
10290991,"RUA JOAQUIM BORGES, N. 308, QD V,LTS 9 E 10 UNIF",JARDIM AEROPORTO,"Casa, 0.00 de área total, 490.31 de área privativa, 600.00 de área do terreno.",1274628.6,2000000.0,36.27,Licitação Aberta,,ALFENAS,MG,Sim
8444423534638,"RUA ANESIA VIEIRA DE OLIVEIRA, N. 274,",RESIDENCIAL NOVO HORIZONTE,"Casa, 55.00 de área total, 55.00 de área privativa, 210.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",200000.0,200000.0,0.0,Leilão SFI - Edital Único,,ALFENAS,MG,Não
10307846,"RUA ALEIXO PARAGUASSU, N. 624",CENTRO,"Casa, 0.00 de área total, 257.86 de área privativa, 385.16 de área do terreno.",730000.0,730000.0,0.0,Leilão SFI - Edital Único,,ALMENARA,MG,Não
8444420351427,"RUA DOMINGOS BATISTA, N. 119,",ALTEROSA,"Casa, 42.00 de área total, 42.00 de área privativa, 261.12 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",65921.81,115000.0,42.68,Venda Direta Online,,ALTEROSA,MG,Não
1444422148663,"AVENIDA OESTE DE MINAS, N. SN, LT 05, QD 09",VALE DO IPÊ,"Terreno, 0.00 de área total, 0.00 de área privativa, 5250.00 de área do terreno.",117072.73,186000.0,37.06,Venda Direta Online,,ANTONIO CARLOS,MG,Não
1444422178414,"RUA JOÃO BATISTA PIERMATEI, N. 26, Apto 101,",CENTRO,"Apartamento, 230.53 de área total, 166.75 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.",300812.35,472000.0,36.27,Venda Direta Online,,ANTONIO PRADO DE MINAS,MG,Sim
10224694,"RUA NOVE, N. S/N, QD 15, LT 05",JARDIM PANORAMA,"Terreno, 0.00 de área total, 0.00 de área privativa, 2275.00 de área do terreno.",289659.34,505000.0,42.65,Venda Direta Online,,ARAGUARI,MG,Sim
