link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8787709066698,"AVENIDA DA SAUDADE, N. 1221, QD 02",RESIDENCIAL TIA CHICA,"Casa, 44.42 de área total, 44.42 de área privativa, 162.60 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",126350.0,126350.0,0.0,Leilão SFI - Edital Único,,APARECIDA DO TABOADO,MS,Não
8444409742628,"RUA PROJETADA 02, N. 78, QD 490B PCC",ENF HILDA GONCALVES,"Casa, 60.27 de área total, 60.27 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",90746.77,155000.0,41.46,Venda Direta Online,,AQUIDAUANA,MS,Não
8787717120930,"RUA JOSE RODRIGUES DOS ANJOS, N. SN, LOTE F QD 602",Centro,"Casa, 49.18 de área total, 49.18 de área privativa, 144.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",90746.77,155000.0,41.46,Licitação Aberta,,AQUIDAUANA,MS,Não
8444405135859,"RUA JAIME ARTIGAS, N. 398, LT 07, QD 538 DA PCC",PINHEIRO,"Casa, 70.25 de área total, 70.25 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",105481.84,178000.0,40.75,Venda Direta Online,,AQUIDAUANA,MS,Não
8444413429262,"RUA ANTONIO QUELHO, N. 1203, LT 15 QD 509 PCC",SANTA TEREZINHA,"Casa, 69.86 de área total, 69.86 de área privativa, 297.95 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",100741.08,170000.0,40.75,Venda Direta Online,,AQUIDAUANA,MS,Não
8444417682280,"RUA AUGUSTO ALVES CORREA, N. 107, LT 08 QD 550",Alto,"Casa, 0.00 de área total, 74.98 de área privativa, 630.00 de área do terreno.",111816.5,185000.0,39.56,Venda Direta Online,,AQUIDAUANA,MS,Não
8444407364529,"R. QUINTINO BOCAIUVA, N. 1548, QD01, LT D, Q 172",Aquidauana,"Casa, 123.82 de área total, 123.82 de área privativa, 235.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",119590.43,190000.0,37.06,Licitação Aberta,,AQUIDAUANA,MS,Não
1444416876440,"RUA ANTONIO CAMPELLO, N. SN, QD 463 LT 33",VL SANTA TEREZINHA,"Casa, 101.43 de área total, 101.43 de área privativa, 687.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",161877.83,254000.0,36.27,Venda Direta Online,,AQUIDAUANA,MS,Sim
1444418365230,"RUA JORGE TAMASHIRO, N. 205, QD 273, LT 10A, QD 273 PCC",Alto,"Casa, 70.88 de área total, 70.88 de área privativa, 210.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",155504.69,244000.0,36.27,Venda Direta Online,,AQUIDAUANA,MS,Não
8444404263365,"TRAVESSA PROJETADA I, N. S/N, LT 19 QD A",LOT VILA TRINDADE,"Casa, 138.00 de área total, 138.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",300000.0,300000.0,0.0,Leilão SFI - Edital Único,,AQUIDAUANA,MS,Não
