link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444428941690,"AVENIDA DAS SAMAMBAIAS, N. 05, SETOR 001 QD 006, LO 005",BAIRRO SALGADO,"Casa, 66.58 de área total, 66.58 de área privativa, 281.23 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",70891.15,145000.0,51.11,Venda Direta Online,,ACORIZAL,MT,Não
8444426339305,"RUA AQUINO MONTEIRO, N. 11, QD 11 LT 6-A",CENTRO,"Casa, 62.35 de área total, 62.35 de área privativa, 259.93 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",68446.63,140000.0,51.11,Venda Direta Online,,ACORIZAL,MT,Não
8444429771500,"AVENIDA  SAMAMBAIA, N. 06, ST 04, QD 6, LT 06",SALGADO,"Casa, 56.84 de área total, 56.84 de área privativa, 290.17 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",74646.53,150000.0,50.24,Venda Direta Online,,ACORIZAL,MT,Não
1444419887574,"RUA LAURINDO MACHADO, N. SN, LT 06 QD 06",Cidade Alta,"Casa, 0.00 de área total, 61.27 de área privativa, 217.76 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",87894.8,175000.0,49.78,Venda Direta Online,,ACORIZAL,MT,Sim
1444416372662,"RUA 1, N. 28, QUADRA 46 LOTE 03 SETOR 11",NOVA ACORIZAL,"Casa, 173.88 de área total, 173.88 de área privativa, 450.00 de área do terreno.",247292.72,450000.0,45.05,Venda Online,,ACORIZAL,MT,Sim
8444412575052,"RUA 02, N. SN, QD 05 LT 03",NOVA ACORIZAL,"Casa, 76.43 de área total, 76.43 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",100741.08,170000.0,40.75,Licitação Aberta,,ACORIZAL,MT,Não
8787704889068,"RUA BC 26, N. 379, LT 6 QD 6",UNIVERSITARIO,"Casa, 45.69 de área total, 45.69 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",222000.0,222000.0,0.0,Leilão SFI - Edital Único,,AGUA BOA,MT,Não
10299187,"RUA A2, N. 00, QD 12A, LT 11",RES. JARDIM EUROPA,"Terreno, 0.00 de área total, 0.00 de área privativa, 224.49 de área do terreno.",58279.01,96500.0,39.61,Licitação Aberta,,ALTA FLORESTA,MT,Não
10278706,"AVENIDA JAIME VERISSIMO DE CAMPOS, N. S/N, Apto 42, AP 42,LT LE-20C",SETOR C,"Apartamento, 0.00 de área total, 184.56 de área privativa, 0.00 de área do terreno, 3 vaga(s) de garagem.",1096180.6,1720000.0,36.27,Venda Direta Online,,ALTA FLORESTA,MT,Sim
10215016,"AVENIDA VEREADOR JOÃO FERREIRA NEVES, N. 00, QD 174, LT 007/B",AEROPORTO,"Terreno, 0.00 de área total, 0.00 de área privativa, 1824.71 de área do terreno.",186385.43,330000.0,43.52,Venda Direta Online,,ALTO ARAGUAIA,MT,Sim
8444428713522,"RUA MATO GROSSO, N. 7, LT 561, QD 31",CENTRO,"Casa, 0.00 de área total, 259.00 de área privativa, 283.72 de área do terreno,  5 qto(s), WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.",179210.89,587000.0,69.48,Venda Direta Online,,ARENAPOLIS,MT,Sim
1444421104492,"RUA SAO JUDAS TADEU, N. SN, LT 08 QD 26",BELA VISTA,"Casa, 0.00 de área total, 292.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha.",346820.4,795000.0,56.38,Venda Online,,ARENAPOLIS,MT,Sim
8444421868156,"AVENIDA A (QUADRA 40), N. SN, LOTE 09, QUADRA 40",CENTRO,"Terreno, 45.00 de área total, 0.00 de área privativa, 225.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",90161.3,154000.0,41.46,Venda Direta Online,,BARRA DO GARCAS,MT,Não
8444420707280,"RUA SAO LUCAS, N. 26A, QD 269",JARDIM NOVA BARRA DO GARCAS,"Casa, 65.63 de área total, 65.63 de área privativa, 206.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",119069.46,197000.0,39.56,Licitação Aberta,,BARRA DO GARCAS,MT,Não
1444404357043,"RUA MANOEL F DA LUZ, N. SN, LT 13 QD 45",JARDIM SAO JOAO,"Casa, 211.37 de área total, 180.00 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha.",207127.15,325000.0,36.27,Venda Online,,BARRA DO GARCAS,MT,Não
8444407801619,"RUA SETE, N. SN, 13A QUADRA 20",ANCHIETA,"Casa, 78.17 de área total, 69.87 de área privativa, 216.78 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",224500.0,224500.0,0.0,Leilão SFI - Edital Único,,BARRA DO GARCAS,MT,Não
8444417236957,"RUA VATICANO, N. SN, QD 341, LT 06",JARDIM NOVA BARRA DO GARCAS,"Casa, 0.00 de área total, 55.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",169000.0,169000.0,0.0,Leilão SFI - Edital Único,,BARRA DO GARCAS,MT,Não
8444419126415,"RUA SERRA AZUL, N. SN, QUADRA 196  LOTE 25",JARDIM NOVA BARRA DO GARCAS,"Casa, 54.00 de área total, 54.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",150400.0,150400.0,0.0,Leilão SFI - Edital Único,,BARRA DO GARCAS,MT,Não
8444434643840,"RUA PRIMAVERA, N. SN, Nº 17-A QUADRA 332",JARDIM NOVA BARRA DO GARCAS,"Casa, 100.00 de área total, 100.00 de área privativa, 205.50 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",349365.04,345000.0,0.0,Leilão SFI - Edital Único,,BARRA DO GARCAS,MT,Não
1555500339451,"AVENIDA MARECHAL RONDON, N. SN, QD 18 LT 07",SETOR CIDADE VELHA,"Casa, 0.00 de área total, 200.00 de área privativa, 725.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.",718333.33,508000.0,0.0,Leilão SFI - Edital Único,,BARRA DO GARCAS,MT,Não
1555540235070,"RUA SAO BENEDITO, N. 30, QD 04 LT 15",JARDIM PARAISO,"Casa, 242.24 de área total, 242.24 de área privativa, 429.90 de área do terreno,  4 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",229433.15,360000.0,36.27,Venda Direta Online,,CACERES,MT,Sim
8555517585130,"RUA RIO NEGRO, N. SN, LT 03 QD E",SANTOS DUMONT,"Casa, 88.92 de área total, 88.92 de área privativa, 341.28 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",235000.0,235000.0,0.0,Leilão SFI - Edital Único,,CACERES,MT,Não
1444418921639,"AVENIDA NEGO CARRIN, N. SN, LT 106 QD 06 RUA F",SETOR UNIÃO,"Terreno, 0.00 de área total, 0.00 de área privativa, 223.56 de área do terreno.",217876.84,64000.0,0.0,Leilão SFI - Edital Único,,CAMPINAPOLIS,MT,Não
17552,"AVENIDA MARANHAO, N. 1308, QD 304, LT 02",JARDIM DAS PALMEIRAS,"Casa, 0.00 de área total, 169.90 de área privativa, 800.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s).",315844.54,660000.0,52.15,Venda Online,,CAMPO NOVO DO PARECIS,MT,Não
1444408143366,"RUA SANTA CATARINA, N. 368S, LT 09 QD 02 UN 0",CENTRO,"Casa, 0.00 de área total, 196.50 de área privativa, 450.00 de área do terreno.",510000.0,510000.0,0.0,Leilão SFI - Edital Único,,CAMPOS DE JULIO,MT,Não
8787707146120,"RUA SÃO LUCAS, N. SN, QD 9 LT 10",RES MORADA DO VALLE,"Casa, 45.69 de área total, 45.69 de área privativa, 220.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",227000.0,227000.0,0.0,Leilão SFI - Edital Único,,CANARANA,MT,Não
1787701954669,"RUA PROJETADA 17, N. SN, LOTE 14 QUADRA 48",LOT IMPERIAL ECO PAR,"Casa, 50.74 de área total, 50.74 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",141000.0,235000.0,40.0,Leilão SFI - Edital Único,,CONFRESA,MT,Não
1787701972683,"RUA PROJETADA 17, N. SN, LOTE 38 QUADRA 47",LOT IMPERIAL ECO PAR,"Casa, 50.74 de área total, 50.74 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",141000.0,235000.0,40.0,Leilão SFI - Edital Único,,CONFRESA,MT,Não
8787707262856,"RUA FREDERICO WESTFALEN, N. SN, LT 08 QD 21",RES MORADA DO VALLE,"Casa, 45.69 de área total, 45.69 de área privativa, 230.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",195000.0,195000.0,0.0,Leilão SFI - Edital Único,,CONFRESA,MT,Não
10170799,"RUA 16 -ÁREA REMANESCENT AR1, QD 01,AREA A",PASCOAL RAMOS,"Terreno, 0.00 de área total, 0.00 de área privativa, 3298.50 de área do terreno.",315297.52,900000.0,64.97,Venda Direta Online,,CUIABA,MT,Sim
8444412142016,"AVENIDA A, N. SN, CASA RESID TIPO A",JARDIM NOVO MILENIO,"Casa, 0.00 de área total, 32.00 de área privativa, 171.21 de área do terreno.",97036.03,184000.0,47.27,Venda Direta Online,,CUIABA,MT,Não
10210414,"AV HISTORIADOR RUBENS DE MENDONCA, N. 1097",ARAES,"Prédio, 0.00 de área total, 1169.83 de área privativa, 720.00 de área do terreno.",3665122.3,6860000.0,46.58,Licitação Aberta,,CUIABA,MT,Não
1444421182876,"RUA DEZENOVE, N. 236, L42 Q-M",COXIPO DA PONTE,"Casa, 94.71 de área total, 94.71 de área privativa, 360.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",172005.82,313000.0,45.05,Venda Online,,CUIABA,MT,Sim
