link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444416307435,"RUA MARIO SOARES, N. 710, QD 02 CS 04",ALBERTO SOARES,"Casa, 0.00 de área total, 120.00 de área privativa, 120.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",125593.51,239000.0,47.46,Venda Direta Online,,ALTAMIRA,PA,Sim
1444420607024,"RUA POLIVALENTE, N. SN,",JARDIM UIRAPURU,"Casa, 161.30 de área total, 100.80 de área privativa, 274.75 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.",402081.58,701000.0,42.65,Venda Direta Online,,ALTAMIRA,PA,Sim
1444406109705,"RUA RIO BRANCO, N. S/N°, LT 25 QD 12",JARDIM INDEPENDENTE I,"Casa, 0.00 de área total, 300.00 de área privativa, 300.00 de área do terreno.",212799.24,371000.0,42.65,Venda Online,,ALTAMIRA,PA,Não
8555510519647,"RUA RIO BRANCO, N. SN, QD 09, LOTE 36",IBIZA,"Casa, 69.98 de área total, 69.98 de área privativa, 247.17 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",126322.42,209000.0,39.56,Venda Direta Online,,ALTAMIRA,PA,Não
1444417875323,"RUA SÃO PAULO, N. 1515, LT 10A",IBIZA,"Casa, 77.62 de área total, 58.35 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",290000.0,290000.0,0.0,Leilão SFI - Edital Único,,ALTAMIRA,PA,Não
10007630,"FAZENDA SÃO JOSÉ MARGEM DIREITA RIO ANAJÁS, N. S/N, IGARAPÉ SAPARARÁ",FAZENDA SÃO JOSÉ,"Imóvel rural, 0.00 de área total, 0.00 de área privativa, 333000.00 de área do terreno.",1957027.17,4440000.0,55.93,Venda Direta Online,,ANAJAS,PA,Não
8555528959401,"ESTRADA 40 HORAS, N. 100, Apto 402, BL 05",COQUEIRO,"Apartamento, 57.00 de área total, 41.34 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",98963.3,167000.0,40.75,Licitação Aberta,,ANANINDEUA,PA,Não
1444405509750,"RUA ESPIRÍTO SANTO, N. SN, LT 54",ICUI-GUAJARA,"Casa, 0.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",81578.19,135000.0,39.58,Venda Direta Online,,ANANINDEUA,PA,Não
8555531879782,"ESTRADA SANTANA DO AURA, N. SN, CS 96",AGUAS LINDAS,"Casa, 101.28 de área total, 55.21 de área privativa, 101.28 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",118465.05,196000.0,39.56,Venda Direta Online,,ANANINDEUA,PA,Não
8787715273233,"AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 193B, BL 29",QUARENTA HORAS (COQUEIRO),"Apartamento, 110.95 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",138410.69,229000.0,39.56,Licitação Aberta,,ANANINDEUA,PA,Não
1444408341028,"TRAVESSA WE-66, N. 681,",COQUEIRO,"Casa, 45.00 de área total, 45.00 de área privativa, 199.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",89739.5,147000.0,38.96,Licitação Aberta,,ANANINDEUA,PA,Não
8787713852430,"AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 75 A, BL 11",QUARENTA HORAS (COQUEIRO),"Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",163485.3,267000.0,38.77,Venda Online,,ANANINDEUA,PA,Sim
8787715261820,"AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 119, BLOCO 18",QUARENTA HORAS (COQUEIRO),"Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno.",150626.91,246000.0,38.77,Licitação Aberta,,ANANINDEUA,PA,Não
1555527845226,"CJ. CIDADE NOVA 7. TV-WE 82, N. 612, ENTRE ARTERIAL 5-B E SN 24",COQUEIRO,"Casa, 150.00 de área total, 150.00 de área privativa, 200.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",246843.43,387318.2,36.27,Venda Direta Online,,ANANINDEUA,PA,Sim
1444403896579,"PASSAGEM VITA MAUES, N. 09,",LEVILANDIA,"Casa, 0.00 de área total, 75.95 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",211588.35,332000.0,36.27,Venda Direta Online,,ANANINDEUA,PA,Não
1444418355552,"RUA SANTA MARIA, N. 211,",ICUI-GUAJARA,"Casa, 148.63 de área total, 148.63 de área privativa, 250.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",222422.69,349000.0,36.27,Venda Direta Online,,ANANINDEUA,PA,Não
8787714444964,"NONA TRAVESSA, N. 147, Apto 104, PAV 1 BL 16 QD C VG G12",VILA AURA,"Apartamento, 97.25 de área total, 59.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",191904.52,191904.52,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
8787714648110,"NONA TRAVESSA, N. SN, Apto 102, BL 15  QD C  TIPO A  1º P",VILA AURA,"Apartamento, 97.25 de área total, 59.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",165000.0,165000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
8787714831275,"AV GOV HELIO DA MOTA GUEIROS, N. 436, Apto 121B, BL 19 PAV 1",40 HORAS,"Apartamento, 110.95 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",179000.0,179000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
8444412358124,"RUA DOZE, N. 13, TIPO C253N",AGUAS LINDAS,"Casa, 231.45 de área total, 53.00 de área privativa, 525.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",375000.0,375000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
1787700529085,"PASSAGEM SAO PEDRO, N. 108, Apto 301, BL 04",COQUEIRO,"Apartamento, 87.05 de área total, 59.68 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",321000.0,321000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
1787702497008,"AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 528, Apto 5, BL 30",COQUEIRO,"Apartamento, 134.67 de área total, 66.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",229000.0,229000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
8787716525333,"AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 209B, BL 27 PAV 01",COQUEIRO,"Apartamento, 129.80 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",189000.0,189000.0,0.0,Leilão SFI - Edital Único,,ANANINDEUA,PA,Não
