link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444420618601,"RUA VIA DE ACESSO 01, N. SN, LT 16, QD A",LOT ASA BRANCA,"Casa, 65.47 de área total, 65.47 de área privativa, 129.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",64009.67,130000.0,50.77,Venda Direta Online,,ALHANDRA,PB,Não
8444404485198,"RUA LOCAL 05, N. S/N, QD-B, LT 27",LOT PORTAL DAS PRAIA,"Casa, 59.95 de área total, 59.95 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.",72988.41,126000.0,42.08,Venda Online,,ALHANDRA,PB,Não
8555505446017,"RUA PROJETADA, N. SN, QD B, LT 07",Mata Redonda,"Casa, 81.20 de área total, 81.20 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",81964.82,140000.0,41.46,Venda Direta Online,,ALHANDRA,PB,Não
1444404755049,"RUA PROJETADA, N. SN,",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.",139776.3,52300.0,0.0,Leilão SFI - Edital Único,,BANANEIRAS,PB,Não
8444426982224,"RUA SAO JOAO BATISTA, N. 95, CASA 05",MARIO ANDREAZZA,"Casa, 0.00 de área total, 47.75 de área privativa, 800.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",33884.12,124000.0,72.68,Venda Online,,BAYEUX,PB,Não
8444415707790,"RUA MARIA DO CARMO DOS SANTOS, N. 137, QD 12, LT A7, CS 01",COMERCIAL NORTE,"Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.",44209.13,145812.92,69.69,Venda Direta Online,,BAYEUX,PB,Não
8555512688624,"RUA DA NATIVIDADE, N. 40, CS 03",COMERCIAL NORTE,"Casa, 0.00 de área total, 44.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",33811.37,104000.0,67.49,Venda Online,,BAYEUX,PB,Não
8444408572729,"RUA PROJETADA, N. 143, CS 4 QD D  LT 03",COMERCIAL NORTE,"Casa, 0.00 de área total, 46.57 de área privativa, 103.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",31806.88,96000.0,66.87,Venda Direta Online,,BAYEUX,PB,Não
8444406149314,"RUA NOVE DE NOVEMBRO, N. 72, CS B",COMERCIAL NORTE,"Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",42983.64,128000.0,66.42,Venda Online,,BAYEUX,PB,Não
8444417481803,"RUA NATIVIDADE, N. 37, QD 16 LT E",COMERCIAL NORTE,"Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",40532.51,119500.0,66.09,Venda Online,,BAYEUX,PB,Não
8444414425538,"RUA JOAQUIM RODRIGUES DE SOUZA, N. 257, CS B, QD K, LT 10-A",COMERCIAL NORTE,"Casa, 0.00 de área total, 60.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",45254.5,128000.0,64.65,Venda Online,,BAYEUX,PB,Não
8444406183644,"RUA 09 DE NOVEMBRO, N. 72, CS C, CON RES GONCALVES V",LOT SONHO VERDE,"Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",40036.26,109000.0,63.27,Venda Online,,BAYEUX,PB,Não
8444405847913,"RUA VEREADOR DORGIVAL DANTAS, N. 255, CS 01",COMERCIAL NORTE,"Casa, 0.00 de área total, 46.57 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",42705.34,112000.0,61.88,Venda Direta Online,,BAYEUX,PB,Não
8444424649340,"RUA MARIA DO CARMO DOS SANTOS, N. 117, CS 05",COMERCIAL NORTE,"Casa, 0.00 de área total, 52.62 de área privativa, 134.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.",41180.16,108000.0,61.88,Venda Direta Online,,BAYEUX,PB,Não
8444408858584,"RUA PROJETADA, N. 171, CS 02, LT. COLINA VERDE",AREA RURAL DE BAYUEX,"Casa, 0.00 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",40798.86,107000.0,61.88,Venda Direta Online,,BAYEUX,PB,Não
8444416990933,"RUA NATIVIDADE, N. 37, CS 02 QD16 LT E",COMERCIAL NORTE,"Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",46672.64,122000.0,61.75,Venda Direta Online,,BAYEUX,PB,Não
8444406041548,"RUA PROJETADA VL-05, N. 250, CS 01 COND RES PANORAMICO",LOT RES PANORAMICO,"Casa, 0.00 de área total, 45.72 de área privativa, 67.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",33822.42,87500.0,61.35,Venda Direta Online,,BAYEUX,PB,Não
8444404308709,"RUA JOSE PAULINO FILHO, N. 270, CS 03 RUA PROJETADA 19",COMERCIAL NORTE,"Casa, 0.00 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",37104.16,95990.0,61.35,Venda Direta Online,,BAYEUX,PB,Não
8444404257977,"RUA GOVERNADOR ANTONIO MARIZ, N. 266, CS 03",COMERCIAL NORTE,"Casa, 0.00 de área total, 49.88 de área privativa, 200.67 de área do terreno,  2 qto(s), WC, 1 sala(s), Terraco.",50669.57,131000.0,61.33,Venda Direta Online,,BAYEUX,PB,Não
8555509510569,"RUA SAO JOAO BATISTA, N. 47, CS 03-C",COMERCIAL NORTE,"Casa, 0.00 de área total, 53.67 de área privativa, 143.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",52990.32,137000.0,61.33,Venda Online,,BAYEUX,PB,Não
8444406161489,"RUA VEREADOR DORGIVAL DANTAS, N. 285, CS 01 COND RES VILLA CLARA",COMERCIAL NORTE,"Casa, 0.00 de área total, 51.81 de área privativa, 117.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",39192.73,97000.0,59.6,Venda Direta Online,,BAYEUX,PB,Não
8444401330487,"RUA MANOEL PAULINO GOMES, N. 251,  .",CENTRO,"Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",35911.87,81000.0,55.67,Venda Direta Online,,BAYEUX,PB,Não
8444402400870,"RUA PROJETADA 02, N. 180, CASA 04",CENTRO,"Casa, 0.00 de área total, 46.57 de área privativa, 105.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",35025.16,79000.0,55.67,Venda Direta Online,,BAYEUX,PB,Não
8444413937470,"RUA MARIA DO CARMO DOS SANTOS, N. 137, CS 02",COMERCIAL NORTE,"Casa, 0.00 de área total, 71.92 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",63488.32,137000.0,53.66,Venda Direta Online,,BAYEUX,PB,Não
8444406666378,"RUA JORGE AMADO, N. 105, CS 02, LOT. PANORAMICO",COMERCIAL NORTE,"Casa, 45.72 de área total, 45.72 de área privativa, 75.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",51236.88,107500.0,52.34,Venda Direta Online,,BAYEUX,PB,Não
8787710138583,"RUA MANOEL PAULINO GOMES, N. 535, Apto 204-, 204B",COMERCIAL NORTE,"Apartamento, 67.47 de área total, 52.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",68446.63,140000.0,51.11,Venda Direta Online,,BAYEUX,PB,Não
8444408646625,"R PROJETADA, N. 251, CS 104",AEROPORTO,"Casa, 54.00 de área total, 54.00 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",52945.92,108000.0,50.98,Venda Direta Online,,BAYEUX,PB,Não
8444404547614,"RUA PROJETADA SETOR 20, N. 41, CASA 03",COMERCIAL NORTE,"Casa, 46.58 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",52455.68,107000.0,50.98,Venda Direta Online,,BAYEUX,PB,Não
8444405371986,"R VITORIA, N. 240, CS 01",LOT RES PANORAMICO,"Casa, 45.72 de área total, 45.72 de área privativa, 66.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",44779.29,91000.0,50.8,Venda Direta Online,,BAYEUX,PB,Não
8444414789548,"RUA MARECHAL CASTELO BRANCO, N. 308,  CS N 02",COMERCIAL NORTE,"Casa, 77.53 de área total, 46.57 de área privativa, 83.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",43260.8,87914.14,50.8,Venda Direta Online,,BAYEUX,PB,Não
8444402400942,"PROJETADA 02, N. 180, CASA NO. 02",COMERCIAL NORTE,"Casa, 58.07 de área total, 46.57 de área privativa, 88.54 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",35911.87,72000.0,50.13,Venda Direta Online,,BAYEUX,PB,Não
8444404481982,"RUA PROJETADA SETOR 20, N. 40, ATUALMENTE RUA NOBERTO PAIVA",COMERCIAL NORTE,"Casa, 61.92 de área total, 46.58 de área privativa, 83.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",52999.77,106000.0,50.01,Venda Direta Online,,BAYEUX,PB,Não
8444403031622,"RUA PROJETADA, N. 500, CS 06",MARIO ANDREAZZA,"Casa, 87.90 de área total, 47.10 de área privativa, 99.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",53999.76,108000.0,50.01,Venda Direta Online,,BAYEUX,PB,Não
8444407977318,"RUA PROJETADA 03, N. 63, CS 01",LOT COLINA VERDE,"Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",57179.99,114000.0,49.85,Venda Direta Online,,BAYEUX,PB,Não
8444429526670,"RUA VISTA PANORAMICA, N. 15, QD B, LT B18, CS B",COMERCIAL NORTE,"Casa, 107.55 de área total, 71.50 de área privativa, 168.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",81096.57,161000.0,49.63,Venda Direta Online,,BAYEUX,PB,Sim
8444416214429,"RUA MARECHAL CASTELO BRANCO, N. 320, CS LT 15 QD 05",COMERCIAL NORTE,"Casa, 77.53 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",54718.95,108600.0,49.62,Venda Online,,BAYEUX,PB,Não
8444415649871,"RUA NATIVIDADE, N. 37, CS LT E QD 16",CENTRO,"Casa, 72.51 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",58589.43,115897.22,49.45,Venda Online,,BAYEUX,PB,Não
8444405972807,"AVENIDA FRANCISCO MARQUES DA FONSECA, N. 265, CS 01",IMACULADA,"Casa, 80.73 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",46096.33,91000.0,49.35,Venda Direta Online,,BAYEUX,PB,Não
8444407770187,"AVENIDA FRANCISCO MARQUES DA FONSECA, N. 73, CS 01",IMACULADA,"Casa, 0.00 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",47615.98,94000.0,49.35,Venda Direta Online,,BAYEUX,PB,Não
8444407978357,"AVENIDA FRANCISCO MARQUES DA FONSECA, N. 63, CS 03",IMACULADA,"Casa, 59.19 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",45589.77,90000.0,49.35,Venda Direta Online,,BAYEUX,PB,Não
8444407349694,"RUA JOSE PAULINO FILHO, N. 133, CS 101",COMERCIAL NORTE,"Casa, 68.67 de área total, 68.67 de área privativa, 95.80 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",64878.59,128000.0,49.32,Venda Direta Online,,BAYEUX,PB,Não
8444407561065,"RUA PROJETADA 03, N. 41, CS 04",COMERCIAL NORTE,"Casa, 46.57 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), Terraco, 1 vaga(s) de garagem.",64911.76,127000.0,48.89,Venda Online,,BAYEUX,PB,Não
8444426524757,"RUA PROJETADA 06, N. SN, CS 101,  LT10 QD 35",JARDIM AEROPORTO,"Casa, 82.95 de área total, 56.45 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",54086.85,105169.34,48.58,Venda Direta Online,,BAYEUX,PB,Não
8444432784358,"RUA PROJETADA 02, N. 41, CS101 LT16 QD2B",COMERCIAL NORTE,"Casa, 90.00 de área total, 54.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",77350.6,149660.1,48.32,Venda Direta Online,,BAYEUX,PB,Não
8444407559834,"AVENIDA FRANCISCO MARQUES DA FONSECA, N. 41,",IMACULADA,"Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",66210.91,127000.0,47.87,Venda Online,,BAYEUX,PB,Não
8444407560620,"RUA PROJETADA 3, N. 41, CS 02",Ver Genival A Santos,"Casa, 0.00 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",69889.29,127000.0,44.97,Venda Direta Online,,BAYEUX,PB,Não
8444401918670,"RUA PROJETADA 10 (RUA NOSSA SENHORA APARECIDA), N. 94, CS 02",COMERCIAL NORTE,"Casa, 58.59 de área total, 58.59 de área privativa, 104.43 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",67068.27,120000.0,44.11,Venda Direta Online,,BAYEUX,PB,Não
8444405747064,"RUA SAO JOAO BATISTA, N. 5,",MARIO ANDREAZZA,"Casa, 49.70 de área total, 49.70 de área privativa, 77.40 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",58285.46,102000.0,42.86,Venda Online,,BAYEUX,PB,Não
8444407978020,"AVENIDA FRANCISCO MARQUES DA FONSECA, N. 63, CS 2",IMACULADA,"Casa, 72.19 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",49786.93,86000.0,42.11,Venda Online,,BAYEUX,PB,Não
8444422659607,"RUA PROJETADA, N. 36, CS A",COMERCIAL NORTE,"Casa, 79.63 de área total, 59.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",76464.05,132000.0,42.08,Licitação Aberta,,BAYEUX,PB,Não
8555505888184,"RUA PROJETADA, N. 336, CS 102",JARDIM AEROPORTO,"Casa, 51.25 de área total, 51.25 de área privativa, 210.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",81555.0,139300.0,41.46,Venda Direta Online,,BAYEUX,PB,Não
8444406487007,"RUA PROJETADA SETOR 17, N. 300, CS 01",CENTRO COMERC NORTE,"Casa, 59.19 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",122000.0,122000.0,0.0,Leilão SFI - Edital Único,,BAYEUX,PB,Não
1444419324138,"ALAMEDA BACURAU, N. 38, 3 QD BA1",COMERCIAL NORTE,"Casa, 229.55 de área total, 229.55 de área privativa, 424.50 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, Terraco, 1 vaga(s) de garagem.",1250000.0,1250000.0,0.0,Leilão SFI - Edital Único,,BAYEUX,PB,Não
8444401956610,"RUA CELESTINO BARBOSA, N. 804, CS 02",COMERCIAL NORTE,"Casa, 51.90 de área total, 51.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",115000.0,115000.0,0.0,Leilão SFI - Edital Único,,BAYEUX,PB,Não
8444405935979,"RUA VEREADOR DORGIVAL DANTAS, N. 255, LOTE O3",COMERCIAL NORTE,"Casa, 72.19 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",95000.0,95000.0,0.0,Leilão SFI - Edital Único,,BAYEUX,PB,Não
8444407138065,"RUA PROJETADA, N. 271, CS 3",COMERCIAL NORTE,"Casa, 46.57 de área total, 46.57 de área privativa, 81.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",123000.0,123000.0,0.0,Leilão SFI - Edital Único,,BAYEUX,PB,Não
