link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444421840910,"RUA ALAMEDA JACARANDA, N. 3, CASA 03-A",DESTERRO,"Casa, 0.00 de área total, 48.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",42896.0,105000.0,59.15,Venda Direta Online,,ABREU E LIMA,PE,Não
8444418461172,"RUA ROSA PEREIRA DA CRUZ, N. 756, Apto 101,",DESTERRO,"Apartamento, 51.54 de área total, 51.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",58390.72,126000.0,53.66,Venda Online,,ABREU E LIMA,PE,Não
8444404823328,"RUA PROJETADA, N. 101, LT A A 4, QD XXX",DESTERRO,"Casa, 0.00 de área total, 57.57 de área privativa, 141.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",46864.78,97000.0,51.69,Venda Direta Online,,ABREU E LIMA,PE,Não
8444429072113,"AVENIDA DUQUE DE CAXIAS, N. 380, Apto 01, PAV TERREO",JARDIM CAETES,"Apartamento, 52.53 de área total, 52.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",75817.45,140000.0,45.85,Venda Online,,ABREU E LIMA,PE,Não
8444420399470,"RUA ALAMEDA CUMARU, N. 179, Apto 01, TÉRREO",DESTERRO,"Apartamento, 49.80 de área total, 49.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",69338.98,126000.0,44.97,Venda Direta Online,,ABREU E LIMA,PE,Não
8444431103675,"RUA DOUTOR WALTER BELLIAN, N. 515, Apto 03, LT 07 QD K",DESTERRO,"Apartamento, 45.94 de área total, 45.94 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",80647.53,145000.0,44.39,Venda Direta Online,,ABREU E LIMA,PE,Sim
8787715513749,"RUA ESTACAO DO CAJA, N. SN, Apto 203, BL E",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",92326.23,164000.0,43.71,Venda Direta Online,,ABREU E LIMA,PE,Sim
8787715607522,"RUA ESTACAO DO CAJA, N. S/N, Apto 204, BL F",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",93170.68,165500.0,43.71,Venda Direta Online,,ABREU E LIMA,PE,Sim
8787711948015,"RUA ESTACAO DO CAJA, N. SN, Apto 202, BL A MÓDULO I",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",94755.87,164000.0,42.23,Venda Online,,ABREU E LIMA,PE,Não
8444418535630,"RUA ALAMEDA JACARANDA, N. 03, CASA 03",DESTERRO,"Casa, 48.00 de área total, 48.00 de área privativa, 100.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",48796.49,84000.0,41.91,Venda Direta Online,,ABREU E LIMA,PE,Não
8444419233440,"RUA ESTACAO OUTONO, N. 66, Apto 202, BLOCO B",PLANALTO,"Apartamento, 54.70 de área total, 54.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",81964.82,140000.0,41.46,Venda Direta Online,,ABREU E LIMA,PE,Não
8787712081210,"RUA ESTACAO DO CAJA, N. SN, Apto 102, BL C",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",81964.82,140000.0,41.46,Licitação Aberta,,ABREU E LIMA,PE,Não
8787715073331,"RUA ESTACAO DO CAJA, N. S/N, Apto 04, BL E",PLANALTO,"Apartamento, 0.00 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",88404.91,151000.0,41.46,Venda Direta Online,,ABREU E LIMA,PE,Não
8444419187511,"RUA MARIA ROSA DOS VENTOS (ANTIGA RUA PROJETADA 18, N. 20, Apto 202,",DESTERRO,"Apartamento, 0.00 de área total, 49.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).",83721.21,143000.0,41.46,Venda Direta Online,,ABREU E LIMA,PE,Não
8787714629476,"RUA ESTACAO DO CAJA, N. S/N, Apto 203, BL D",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",97265.98,164135.79,40.75,Venda Direta Online,,ABREU E LIMA,PE,Não
8787715376334,"RUA ESTACAO DO CAJA, N. SN, Apto 004, BL D 20LOT PLANALTO II",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",94815.14,160000.0,40.75,Licitação Aberta,,ABREU E LIMA,PE,Não
8787715650657,"RUA ESTACAO DO CAJA, N. 214, Apto 004, PAV. TERREO, BL F, LT GRANJA Nº 20",PLANALTO,"Apartamento, 83.10 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",103111.46,174000.0,40.75,Venda Direta Online,,ABREU E LIMA,PE,Não
8787716049299,"RUA ESTACAO DO CAJA, N. 214, Apto 001, BL F",PLANALTO,"Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",100741.08,170000.0,40.75,Venda Direta Online,,ABREU E LIMA,PE,Não
8444401605133,"RUA DA NATIVIDADE, N. 406, CASA 02",DESTERRO,"Casa, 0.00 de área total, 52.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",66800.82,112000.0,40.36,Venda Direta Online,,ABREU E LIMA,PE,Não
8444407029010,"TRAVESSA ROSA PEREIRA DA CRUZ, N. SN, CS 10",MATINHA,"Casa, 51.60 de área total, 51.60 de área privativa, 51.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",72560.88,121290.0,40.18,Venda Direta Online,,ABREU E LIMA,PE,Não
