link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444429810904,"RUA UM, N. S/N, LT 11A QD P",POEIRÃO,"Casa, 71.68 de área total, 71.68 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",72743.78,142000.0,48.78,Venda Online,,AGUA BRANCA,PI,Não
8444401399665,"RUA JONAS FERNANDES LIMA, N. 376,",NOVA BRASILIA,"Casa, 59.86 de área total, 59.86 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",30208.1,57779.22,47.72,Venda Direta Online,,AGUA BRANCA,PI,Não
8444409733270,"RUA PROJETADA OITO, N. SN, LT 01 QD A1",POEIRÃO,"Casa, 0.00 de área total, 76.40 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",54828.33,101000.0,45.72,Venda Direta Online,,AGUA BRANCA,PI,Não
8444414362595,"AV JOAO FERREIRA, N. SN, LT 08 QD 12",TINGUIS,"Casa, 0.00 de área total, 73.50 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",55031.43,101374.14,45.72,Venda Direta Online,,AGUA BRANCA,PI,Não
8444410879631,"R DEZ, N. SN, QD Q LT 14",POEIRÃO,"Casa, 0.00 de área total, 69.32 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",61871.79,113615.58,45.55,Venda Direta Online,,AGUA BRANCA,PI,Não
10267664,"RUA JESIMON HENRIQUE DE CARVALHO, N. 00, QD 01, LT 04",BULUNGÃO,"Casa, 0.00 de área total, 123.97 de área privativa, 300.00 de área do terreno.",84062.1,153000.0,45.06,Venda Direta Online,,AGUA BRANCA,PI,Sim
8444409561755,"LUIZA DE PAIVA VASCONCELOS, N. SN, LT17 QD 15 -LOT SAMBAIBA DOS VASCONCEL",TINGUIS,"Casa, 49.28 de área total, 49.28 de área privativa, 140.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",47102.39,85645.09,45.01,Venda Direta Online,,AGUA BRANCA,PI,Não
8444411261941,"AV MARIA DE SOUSA, N. SN, LT 06 QD D",SÃO LUIS,"Casa, 0.00 de área total, 61.20 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",54862.99,99756.0,45.01,Venda Direta Online,,AGUA BRANCA,PI,Não
8444412509165,"RUA TRÊS, N. SN, LT 05 QD B1",POEIRÃO,"Terreno, 0.00 de área total, 0.00 de área privativa, 285.00 de área do terreno.",71540.22,130000.0,44.97,Venda Direta Online,,AGUA BRANCA,PI,Não
8444417071230,"RUA OITO, N. S/N, LT 121",POEIRÃO,"Casa, 63.00 de área total, 63.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",47810.0,84702.7,43.56,Venda Direta Online,,AGUA BRANCA,PI,Não
