link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
10139954,"RODOVIA DOS MINÉRIOS, N. 6750, GLEBA",MATO DENTRO,"Gleba, 0.00 de área total, 0.00 de área privativa, 72600.00 de área do terreno.",1130132.88,4261000.0,73.48,Venda Direta Online,,ALMIRANTE TAMANDARE,PR,Não
8555536200281,"RUA MANOEL BARBOSA, N. 271, Apto 104, BL 05",SAO FELIPE,"Apartamento, 47.90 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",74726.23,129000.0,42.08,Licitação Aberta,,ALMIRANTE TAMANDARE,PR,Não
8787705882644,"RUA MAURICIO ROSEMANN, N. 455, Apto 1117, BL 11 BOX 67",CACHOEIRA,"Apartamento, 45.63 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",99729.17,168292.41,40.75,Licitação Aberta,,ALMIRANTE TAMANDARE,PR,Não
8787708365691,"RUA ALFREDO DE ANDRADE, N. 75, Apto 408, BL 16",BONFIM,"Apartamento, 0.00 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.",120580.49,199500.0,39.56,Venda Direta Online,,ALMIRANTE TAMANDARE,PR,Não
8787713174572,"RUA ELIZIO FERREIRA DO NASCIMENTO, N. 807, Apto 401K, BL K VG 131",COLONIA LAM. GRANDE,"Apartamento, 45.67 de área total, 41.11 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",204000.0,204000.0,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
8787708036302,"RUA MANOEL BARBOSA, N. 207, Apto 711, BL 07 VG 21",JARDIM CAMPO VERDE,"Apartamento, 0.00 de área total, 40.32 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",202459.6,202459.6,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
8444425272703,"RUA STANISLAU BOROWSKI, N. 861, Apto 201, VG 07",CACHOEIRA,"Apartamento, 55.27 de área total, 55.27 de área privativa, 0.00 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.",201562.88,201562.88,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
8787700486732,"TRAVESSA SCHULTZ, N. 288, Apto 241, BL 02 VAGA 70",CACHOEIRA,"Apartamento, 0.00 de área total, 42.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",194000.0,194000.0,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
8787711027912,"RUA RUSSIA, N. 12, Apto AP 10, BL 6",CAMPINA DO ARRUDA,"Apartamento, 46.04 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",204000.0,204000.0,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
8787710168725,"RUA MANOEL BARBOSA, N. 207, Apto 5412, BLOCO 54 VG 174",JARDIM CAMPO VERDE,"Apartamento, 0.00 de área total, 40.32 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",176289.6,159663.17,0.0,Leilão SFI - Edital Único,,ALMIRANTE TAMANDARE,PR,Não
