link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444413568670,"RUA WALDOMIRO MAXIMO CARVALHO, N. 106, CS 01, LT 510, QD 34",ITATIQUARA,"Casa, 0.00 de área total, 52.01 de área privativa, 115.00 de área do terreno, 1 vaga(s) de garagem.",78883.61,164000.0,51.91,Venda Direta Online,,ARARUAMA,RJ,Não
1444410628797,"RUA DO CONTORNO, N. 276, CS 104 QD 38 LT 14",BANANEIRAS (IGUABINHA),"Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",68677.44,140000.0,50.95,Venda Direta Online,,ARARUAMA,RJ,Não
8444404195882,"ESTRADA DE SAO VICENTE, N. SN, Apto ., UNID 12",MONTEIRO (SAO VICENTE),"Casa, 0.00 de área total, 190.00 de área privativa, 0.00 de área do terreno.",70402.24,140000.0,49.72,Venda Direta Online,,ARARUAMA,RJ,Não
1444407595930,"R REX, N. 100, QD17-A, LT375",CENTRO (MORRO GRANDE),"Casa, 0.00 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",177319.13,335000.0,47.07,Venda Online,,ARARUAMA,RJ,Sim
1444418292607,"AVENIDA CENTRAL, N. 786, CS 103, LT 31, QD 43",NOVO HORIZONTE (IGUABINHA),"Casa, 72.93 de área total, 72.93 de área privativa, 202.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",144528.85,263000.0,45.05,Venda Direta Online,,ARARUAMA,RJ,Sim
1444421852820,"AVENIDA CENTRAL, N. 768, CS 102, LT 31, QD 43",NOVO HORIZONTE (IGUABINHA),"Casa, 72.93 de área total, 72.93 de área privativa, 5454.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",160125.86,291381.97,45.05,Venda Direta Online,,ARARUAMA,RJ,Sim
8088870005402,"AVENIDA GLADSTONE JOSE DE OLIVEIRA, N. 2120, CS46",JAPAO,"Casa, 56.76 de área total, 56.76 de área privativa, 123.73 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",104090.87,189000.0,44.93,Venda Direta Online,,ARARUAMA,RJ,Não
1444410307575,"RUA OASIS, N. 215, LT 02 QD 21 1° DISTRITO",VILA CASSIA (PRAIA SECA),"Casa, 203.94 de área total, 203.94 de área privativa, 450.00 de área do terreno.",365443.68,630000.0,42.0,Venda Online,,ARARUAMA,RJ,Sim
8444402031041,"RUA DOMINGOS MOIELLA, N. 44, CASA 202 LT 30 QD A",BOA PERNA,"Casa, 24.19 de área total, 24.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",47808.94,82300.0,41.91,Venda Direta Online,,ARARUAMA,RJ,Não
1444420892284,"AVENIDA CENTRAL, N. 786, CS 112, LT 31, QD 43",NOVO HORIZONTE (IGUABINHA),"Casa, 0.00 de área total, 72.93 de área privativa, 100.00 de área do terreno, 1 vaga(s) de garagem.",160445.69,265003.0,39.46,Venda Direta Online,,ARARUAMA,RJ,Sim
