link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8555530858846,"RUA JOSE NORTE DE MEDEIROS, N. 30, 30, 0565(ANTIGA RUA PROJETADA, S/N, QU",CENTRO,"Casa, 98.00 de área total, 98.00 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",91163.2,179000.0,49.08,Venda Online,,ACARI,RN,Não
8787705455460,"RUA FRANCISCO TORRES DE MEDEIROS, N. 159, LT 124 QD 09",PETRÓPOLIS,"Casa, 55.18 de área total, 55.18 de área privativa, 312.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",123000.0,123000.0,0.0,Leilão SFI - Edital Único,,ACARI,RN,Não
8444406528072,"R POETA EZEQUIEL LINS WANDERLEY, N. 68,",BELA VISTA,"Casa, 83.76 de área total, 83.76 de área privativa, 247.16 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",57982.52,119000.0,51.28,Venda Direta Online,,ACU,RN,Não
8444424773768,"RUA DR. CANTÍDIO ROSADO, N. 82, LOTE 25, QUADRA 02",QUINTA DO FAROL,"Casa, 64.77 de área total, 64.77 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",58469.77,120000.0,51.28,Venda Direta Online,,ACU,RN,Não
8444411993284,"R PREFEITO JOAO BATISTA LACERDA MONTENEGRO, N. 1174, QD 11 LT 08",FELIZ ASSU,"Casa, 52.00 de área total, 52.00 de área privativa, 202.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",59186.32,118000.0,49.85,Venda Direta Online,,ACU,RN,Não
8555509779150,"R DR CANDIDO DA CAMARA CALDAS, N. 185, LT 08A QD 13",QUINTA DO FARO,"Casa, 0.00 de área total, 70.00 de área privativa, 237.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",15248.9,30000.0,49.18,Venda Direta Online,,ACU,RN,Não
8444402445636,"RUA ALFERES FRANCISCO SOARES FILGUEIRA, N. 117,",QUINTA DO FAROL,"Casa, 70.00 de área total, 70.00 de área privativa, 198.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",51078.75,100000.0,48.93,Venda Online,,ACU,RN,Não
8444406203688,"RUA JOANA DARC DA ROCHA, N. 24, LT 522 QD I",QUINTA DO FAROL,"Casa, 45.30 de área total, 45.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",37422.05,73000.0,48.74,Venda Online,,ACU,RN,Não
1444406984410,"RUA MANOEL ALBANO SOBRINHO, N. 67, QD24",LOT MUN PARATI 2000,"Casa, 129.15 de área total, 129.15 de área privativa, 210.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",90184.49,165000.0,45.35,Venda Online,,ACU,RN,Não
8444410045811,"RUA JOSE  SOARES DA CAMARA, N. 141, LT 38 QD 19",QUINTA DO FAROL,"Casa, 54.90 de área total, 54.90 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",56733.94,98000.0,42.11,Venda Online,,ACU,RN,Não
8444403913900,"RUA JOSÉ MORAIS SOBRINHO, N. 41, LT 06 QD 10",QUINTA DO FAROL,"Casa, 70.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",78201.87,135000.0,42.08,Venda Direta Online,,ACU,RN,Não
8555501843763,"RUA CONEGO VICENTE PIMENTEL, N. 63, LT 07 QD 21",FRUTILANDIA,"Casa, 100.41 de área total, 100.41 de área privativa, 220.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), DCE, cozinha.",69396.18,116000.0,40.18,Licitação Aberta,,ACU,RN,Não
1444414412390,"SENADOR JOÃO CÂMARA, N. 2551, LOTE 03 DA QUADRA 06 LOTEAMENTO BATEL",Janduis,"Comercial, 0.00 de área total, 273.40 de área privativa, 238.50 de área do terreno, WC, 3 sala(s), cozinha.",396000.0,396000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Sim
8444402837763,"RUA WALLISON DANTAS MORAIS, N. SN, LADO ÍMPAR",DOM ELISEU,"Casa, 68.83 de área total, 68.83 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",110000.0,110000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444404884777,"RUA DAMIAO TAVARES DO NASCIMENTO, N. 309, QD 04 LT 13",QUINTA DO FAROL,"Casa, 73.00 de área total, 73.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",132992.72,132992.72,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444406237345,"AVENIDA MUSICISTA SAMUEL SANDOVAL DA FONSECA, N. 1897,",VISTA BELA,"Casa, 67.70 de área total, 67.70 de área privativa, 196.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",110000.0,110000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444406970158,"RUA JOSÉ TAVARES JÚNIOR, N. 86,",VERTENTE,"Casa, 62.70 de área total, 62.70 de área privativa, 149.64 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",95000.0,95000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444410949338,"RUA JOSE SOARES DA CAMARA, N. 131, LT 37 QD 19",QUINTA DO FAROL,"Casa, 54.90 de área total, 54.90 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",90000.0,90000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444406926264,"RUA MARINHEIRO AURELIANO LOPO, N. 1178,",CENTRO,"Casa, 65.00 de área total, 65.00 de área privativa, 190.95 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",120000.0,120000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8555509841905,"RUA POETISA ANA ANGELINA S. DE MACEDO, N. 110,",BELA VISTA,"Casa, 70.00 de área total, 70.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",67135.23,66000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444408132109,"AVENIDA VICENTE BARBOSA TINOCO, N. 1712, LT 07 QD 05",FELIZ ASSU,"Casa, 52.00 de área total, 52.00 de área privativa, 200.10 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",71310.32,70000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444404388982,"RUA JOAO B. W. DE SA LEITAO, N. 248, F138",AÇU,"Casa, 76.00 de área total, 76.00 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",109001.94,100000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444402607709,"RUA ANTONIO VERISSIMO DA SILVA, N. 408, QD 8 LT 23",QUINTA DO FAROL,"Casa, 70.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",96570.95,76500.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
8444409069907,"RUA JOAO MACIEL DA SILVA, N. 102,",QUINTA DO FAROL,"Casa, 75.50 de área total, 75.50 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",118369.45,67000.0,0.0,Leilão SFI - Edital Único,,ACU,RN,Não
10308716,"RUA PAPACAPIM, N. 00, QD 03, LT 07 - MEL DE BAIXO - ÁREA RUR",POVOADO PONTA DO MEL,"Terreno, 0.00 de área total, 0.00 de área privativa, 280.00 de área do terreno.",109000.0,109000.0,0.0,Leilão SFI - Edital Único,,AREIA BRANCA,RN,Não
8444424508258,"RUA PRAIA DE CAIÇARA DO NORTE, N. 193, CS B QD 21",CENTRO,"Casa, 66.50 de área total, 66.50 de área privativa, 133.33 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",74146.96,128000.0,42.08,Venda Direta Online,,BOM JESUS,RN,Não
8444410476960,"RUA MARIA DA GUIA DE ARAUJO, N. 45,",LOT CAMPO BELO,"Casa, 97.21 de área total, 97.21 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",53428.33,110000.0,51.43,Venda Direta Online,,CAMPO REDONDO,RN,Não
8444405564652,"RUA CIPRIANO PACHECO, N. SN,",CENTRO,"Casa, 77.25 de área total, 44.62 de área privativa, 71.94 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",45004.25,84000.0,46.43,Venda Online,,CAMPO REDONDO,RN,Não
8444403153388,"RUA PROJETADA 07, N. S/N, QD A, LT 02",CENTRO,"Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",28601.46,88221.02,67.58,Venda Direta Online,,CANGUARETAMA,RN,Não
8444408935619,"RUA PROJETADA 7, LT 06, QD E",LAGOA DE SAO JOAO,"Casa, 0.00 de área total, 64.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",27041.34,72000.0,62.45,Venda Direta Online,,CANGUARETAMA,RN,Não
8444409257550,"RUA OCEANIA PROJETADA 7, LT 03, QD B",LAGOA DE SAO JOAO,"Casa, 0.00 de área total, 63.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",24956.49,66448.91,62.45,Venda Direta Online,,CANGUARETAMA,RN,Não
8444412748569,"RUA OCEANIA - PROJETADA 07, N. SN, LT 04",LOT ANTILHAS,"Casa, 0.00 de área total, 63.00 de área privativa, 231.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",41967.41,95000.0,55.83,Venda Direta Online,,CANGUARETAMA,RN,Não
8444404340572,"RUA OCEANIA PROJETADA 7, N. SN, LT 06 QD A",LAGOA DE SAO JOAO,"Casa, 0.00 de área total, 128.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.",38308.27,83000.0,53.85,Venda Direta Online,,CANGUARETAMA,RN,Não
8444411323327,"RUA OCEANIA PROJETADA 07, N. SN, LT 17  QD A",LOT ANTILHAS,"Casa, 0.00 de área total, 80.00 de área privativa, 231.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",57074.38,122000.0,53.22,Venda Online,,CANGUARETAMA,RN,Não
8444408025329,"RUA OCEANIA PROJETADA, N. 7, Q B LOT 5",BAIRRO LAGOA DE SAO,"Casa, 0.00 de área total, 63.00 de área privativa, 231.04 de área do terreno.",49352.08,103000.0,52.09,Venda Direta Online,,CANGUARETAMA,RN,Não
8444403163952,"RUA PROJETADA 7, N. SN, LOTE 03 QUADRA A",LAGOA DE SAO JOAO,"Casa, 64.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",54997.19,95000.0,42.11,Venda Online,,CANGUARETAMA,RN,Não
8444403942781,"RUA  OCEANIA  PROJETADA 07, N. SN, LT 08",CANGUARETAMA,"Casa, 64.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",48215.58,83000.0,41.91,Venda Direta Online,,CANGUARETAMA,RN,Não
8444411006585,"RUA ANTONIO GOMES DE MELO, N. 158,",LEANDRO BEZERRA,"Casa, 0.00 de área total, 79.80 de área privativa, 134.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",56581.95,128000.0,55.8,Venda Direta Online,,CARAUBAS,RN,Não
8444403175071,"RUA TABELIÃO REINALDO FERNANDES PIMENTA, N. 33,",VEREADOR AROLDO MAIA,"Casa, 112.91 de área total, 112.91 de área privativa, 163.20 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.",81000.0,135000.0,40.0,Leilão SFI - Edital Único,,CARAUBAS,RN,Não
8444410992489,"RUA VEREADOR MELKZEDEQUE MARCELINO DE ANDRADE, N. S/N, Apto LOT, LT 154-A",CASINHAS,"Casa, 0.00 de área total, 45.30 de área privativa, 291.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",21336.53,77000.0,72.3,Venda Online,,CARNAUBAIS,RN,Não
8444408778831,"RUA RIVADÁVIA ALVES CABRAL, N. 309,",JOAO TEIXEIRA FILHO,"Casa, 66.42 de área total, 66.42 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",51897.34,103000.0,49.62,Venda Online,,CARNAUBAIS,RN,Não
8444410909875,"RUA VER. MELKZEDEQUE MARCELINO DE ANDRADE, N. 159,",CASINHAS,"Terreno, 0.00 de área total, 0.00 de área privativa, 291.90 de área do terreno.",10252.61,20000.0,48.74,Venda Online,,CARNAUBAIS,RN,Não
8444406403091,"RUA LOURIVAL FONSECA, N. SN, LT 42",PACHECO,"Casa, 52.00 de área total, 52.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",53999.76,105000.0,48.58,Venda Online,,CARNAUBAIS,RN,Não
