link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
10218509,"AVENIDA PARÁ, N. 00, QD 25-B, LT 14, ST 01",LIBERDADE,"Terreno, 0.00 de área total, 0.00 de área privativa, 1676.65 de área do terreno.",99743.11,170000.0,41.33,Venda Direta Online,,ALTA FLORESTA D'OESTE,RO,Não
10307865,"AVENIDA GUANABARA, N. 00, ST 02, QD 19, LT 01",LIBERDADE,"Terreno, 0.00 de área total, 0.00 de área privativa, 6164.66 de área do terreno.",1160000.0,1160000.0,0.0,Leilão SFI - Edital Único,,ALTA FLORESTA D'OESTE,RO,Sim
1555516874432,"RUA IJAD DID, N. SN, LT 13, QD 15,",RESIDENCIAL PARQUE BRIZON,"Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.",68797.93,115000.0,40.18,Licitação Aberta,,CACOAL,RO,Não
10282352,"AVENIDA PAULO MACHADO, N. s/n, QD 44, LT 07",FLORESTA,"Casa, 0.00 de área total, 214.83 de área privativa, 537.53 de área do terreno.",514312.64,807000.0,36.27,Venda Direta Online,,CACOAL,RO,Sim
1444404718828,"RUA PRESIDENTE MEDICE, N. 530, LT 330L QD 15  SETOR 5",BAIRRO DAS FLORES,"Casa, 110.65 de área total, 110.65 de área privativa, 218.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",77835.28,150000.0,48.11,Venda Direta Online,,CANDEIAS DO JAMARI,RO,Não
8444432936689,"RUA FRANCISCO PEREIRA DA SILVA, N. 2116, LT 01 QD 08",Floresta,"Casa, 0.00 de área total, 60.10 de área privativa, 165.00 de área do terreno.",119673.87,198000.0,39.56,Licitação Aberta,,CEREJEIRAS,RO,Não
1444412606120,"RUA V3, N. 10, LT 11 QD 08B1",LOT SAM BENNESBY,"Casa, 210.56 de área total, 38.42 de área privativa, 315.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",169258.12,308000.0,45.05,Venda Direta Online,,GUAJARA-MIRIM,RO,Sim
8444423690095,"TRAVESSA FRANCISCO PINHEIRO, N. 0, LT 28, QD 94, ST IV",Setor IV,"Casa, 70.30 de área total, 70.30 de área privativa, 225.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",88990.38,152000.0,41.46,Venda Direta Online,,GUAJARA-MIRIM,RO,Não
8444410936392,"AVENIDA MADEIRA MAMORE, N. SN, LT 05 QD 33 SETOR IV",CRISTO REY,"Casa, 106.00 de área total, 106.00 de área privativa, 350.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",108080.77,175000.0,38.24,Venda Direta Online,,GUAJARA-MIRIM,RO,Não
10206961,"RUA TENENTE BRASIL, N. SN, STR 02 01, QD 09,LT 15",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 585.00 de área do terreno.",266648.71,794000.0,66.42,Venda Direta Online,,JI-PARANA,RO,Sim
1444415998738,"RUA CANELA, N. S/Nº, LT 07, QD 09,",ACAI,"Casa, 78.50 de área total, 78.50 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",77686.61,128560.0,39.58,Licitação Aberta,,JI-PARANA,RO,Não
8444428425837,"RUA MOGNO, N. 4311, QD 116 ST 07.01",JK,"Casa, 67.82 de área total, 67.82 de área privativa, 150.00 de área do terreno.",126926.84,210000.0,39.56,Licitação Aberta,,JI-PARANA,RO,Não
8444429019662,"RUA BELGICA, N. 1897, LT 24A QD 22",JARDIM SAO CRISTOVAO,"Casa, 66.49 de área total, 66.49 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",134179.8,222000.0,39.56,Licitação Aberta,,JI-PARANA,RO,Não
8444403917728,"RUA ALDO CAVICHIOLI, N. 440, QD 55 LT 31",JARDIM SAO CRISTOVAO,"Casa, 63.62 de área total, 63.62 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",113021.61,183000.0,38.24,Venda Direta Online,,JI-PARANA,RO,Não
10276425,"RUA PEDRO TEIXEIRA, N. SN, QD 34,LT 02,ST 02.01",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 743.00 de área do terreno.",621381.44,1000000.0,37.87,Venda Direta Online,,JI-PARANA,RO,Sim
1444420406509,"RUA LEONARDO ALVES DA COSTA, N. 308, LT 08A, QD 28,",COLINA PARK I,"Casa, 0.00 de área total, 60.07 de área privativa, 150.00 de área do terreno.",142879.09,227000.0,37.06,Licitação Aberta,,JI-PARANA,RO,Não
8444434956164,"RUA VALDEMAR DA SILVA, N. 3358, LOTE 21A QUADRA 32",NOVA COLINA,"Casa, 69.97 de área total, 69.97 de área privativa, 156.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",220000.0,220000.0,0.0,Leilão SFI - Edital Único,,JI-PARANA,RO,Não
8444413685498,"RUA DALIA, N. 143,",GREEN PARK,"Casa, 64.32 de área total, 64.32 de área privativa, 300.00 de área do terreno, 1 vaga(s) de garagem.",201000.0,201000.0,0.0,Leilão SFI - Edital Único,,JI-PARANA,RO,Não
8444428934464,"AVENIDA ANTONIO HAILTON D. LEITE, N. SN, AREA H, QUADRA 10.17 SETOR 06",CIDADE NOVA,"Casa, 67.17 de área total, 67.17 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",94815.14,160000.0,40.75,Venda Direta Online,,NOVA MAMORE,RO,Não
10202885,"RUA JOÃO WESLEY (ANTIGA MARGINAL IGARAPÉ), N. 00, ST 01, QD 31, LT 375",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 7273.85 de área do terreno.",204184.4,608000.0,66.42,Venda Direta Online,,OURO PRETO DO OESTE,RO,Sim
10012278,"RUA SEBASTIÃO HAFFNER, N. 650, QD 10, LOTE 650, SETOR 51",CIDADE JARDIM,"Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.",182289.57,1809364.27,89.93,Venda Direta Online,,PORTO VELHO,RO,Não
10012279,"RUA HORTELA, N. S/N, QD 10, SETOR 51, LT 829",CIDADE JARDIM,"Outros, 0.00 de área total, 0.00 de área privativa, 6017.25 de área do terreno.",218748.78,579000.0,62.22,Venda Online,,PORTO VELHO,RO,Não
1444418039030,"RUA PRUDENTE DE MORAES, N. 2566, LT 0762 QD 036 SETOR 003",CENTRO,"Casa, 157.21 de área total, 157.21 de área privativa, 157.21 de área do terreno, WC, 3 sala(s), cozinha.",337233.99,631200.0,46.58,Venda Direta Online,,PORTO VELHO,RO,Sim
1444403086267,"RUA RAIMUNDO MERCES, N. 4960, LT 0360 QD97 SETOR 12",AGENOR DE CARVALHO,"Casa, 364.61 de área total, 364.61 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), cozinha.",437723.37,775000.0,43.52,Venda Online,,PORTO VELHO,RO,Sim
1444417460662,"RUA BENEDITO INOCENCIO, N. 6063, LT 11 QD W",LAGOINHA,"Casa, 0.00 de área total, 268.03 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",309512.78,548000.0,43.52,Venda Direta Online,,PORTO VELHO,RO,Sim
10207663,"RUA PIRACICABA, N. 5224, ST 29, QD 6, LT 40",CASTANHEIRA,"Casa, 0.00 de área total, 194.64 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",237643.33,399176.27,40.47,Venda Direta Online,,PORTO VELHO,RO,Não
8444420792334,"RUA MIGUEL DE CERVANTE, N. 117, Apto 405, 04 PAV BL 06",AEROCLUBE,"Apartamento, 51.81 de área total, 44.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",89129.03,146000.0,38.96,Licitação Aberta,,PORTO VELHO,RO,Não
8787708017243,"RUA ERNANDES INDIO, N. 6803, CS 21",PLANALTO,"Casa, 52.00 de área total, 52.00 de área privativa, 323.98 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",149402.3,244000.0,38.77,Licitação Aberta,,PORTO VELHO,RO,Não
1555526927067,"RUA ANARI, N. 5358, Apto 604, 6PAV BL 05 VGS 431 432",FLORESTA,"Apartamento, 108.65 de área total, 70.61 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",246640.63,387000.0,36.27,Licitação Aberta,,PORTO VELHO,RO,Não
10301530,"RUA JOÃO PAULO I, N. 00, CS 15, QD 03, RUA 02",NOVO HORIZONTE,"Casa, 0.00 de área total, 70.87 de área privativa, 129.60 de área do terreno.",158053.95,248000.0,36.27,Licitação Aberta,,PORTO VELHO,RO,Não
10305192,"RUA ERNANDES INDIO, N. 6803,, QD 543 LT 2429, UN 5,COND LAGOA AZUL T",PLANALTO,"Casa, 0.00 de área total, 52.00 de área privativa, 180.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",286326.53,419000.0,31.67,Leilão SFI - Edital Único,,PORTO VELHO,RO,Não
10309323,"RUA PIRITUBA, N. 6082, QD 64  LT 0470  ST 49",MARCOS FREIRE,"Terreno, 0.00 de área total, 0.00 de área privativa, 1137.66 de área do terreno.",1026070.29,1026070.29,0.0,Leilão SFI - Edital Único,,PORTO VELHO,RO,Não
10309371,"AVENIDA JATUARANA, N. 00, QD 33, LT 240, ST 13",LAGOA,"Comercial, 0.00 de área total, 1706.00 de área privativa, 2500.00 de área do terreno.",3701000.0,3701000.0,0.0,Leilão SFI - Edital Único,,PORTO VELHO,RO,Não
