link,endereco,bairro,descricao,preco,valor,desconto,modalidade,foto,cidade,estado,data
10004879,"AV TAMBAU (ATUAL AV JESUALDO COSTA LIMA), N. 134, LOTE 534, QUADRA 777",EQUATORIAL,"Comercial, 204.38 de área total, 0.00 de área privativa, 687.89 de área do terreno, WC, 5 sala(s).",216630.93,247975.57,12.65,Venda Direta Online,,BOA VISTA,RR,2021-07-28 15:16:24.944876
10004880,"PLUTAO, N. 43, QUADRA 21, LOTE 37",CIDADE SATELITE,"Comercial, 264.07 de área total, 0.00 de área privativa, 367.50 de área do terreno, WC, 2 sala(s).",284474.4,392000.0,27.43,Venda Direta Online,,BOA VISTA,RR,2021-07-28 15:16:24.944876
10008543,"AV MAJOR WILLIAMS, N. 357, LT AFORADO 191 QD 18 ZN 02",CENTRO,"Prédio, 0.00 de área total, 559.98 de área privativa, 186.66 de área do terreno.",487800.0,813000.0,40.0,Venda Direta Online,,BOA VISTA,RR,2021-07-28 15:16:24.944876
10004814,"RUA PROJETADA D, N. s/n°, QUADRA 30 LOTE 255",,"Terreno, 1800.00 de área total, 0.00 de área privativa, 1800.00 de área do terreno.",29753.7,41000.0,27.43,Venda Direta Online,,BONFIM,RR,2021-07-28 15:16:24.944876
8065300009508,"TRAVESSA T-16, N. 388, QUADRA 240, LOT SANTA CECILIA",CENTRO,"Casa, 228.57 de área total, 228.57 de área privativa, 600.00 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",89601.07,224002.67,60.0,Venda Direta Online,Ver foto,CANTA,RR,2021-07-28 15:16:24.944876
10004372,"AV. AIRTON SENNA, LOTE 01 QD 008",,"Comercial, 582.55 de área total, 0.00 de área privativa, 0.00 de área do terreno.",217144.81,305000.0,28.81,Venda Direta Online,,RORAINOPOLIS,RR,2021-07-28 15:16:24.944876
10008398,"RUA GAVIAO REI, LT 12 QD 31",,"Terreno, 0.00 de área total, 0.00 de área privativa, 375.00 de área do terreno.",10602.48,20176.17,47.46,Venda Direta Online,,RORAINOPOLIS,RR,2021-07-28 15:16:24.944876
10008466,"RUA TUCANO, LT 02 QD 31",,"Terreno, 0.00 de área total, 0.00 de área privativa, 375.20 de área do terreno.",10602.48,20500.0,48.29,Venda Direta Online,,RORAINOPOLIS,RR,2021-07-28 15:16:24.944876
1444407553846,"RUA AZULAO, N. S/N, LT 12-B QD 03 LOT PARK AMAZONIA",,"Terreno, 0.00 de área total, 0.00 de área privativa, 540.00 de área do terreno.",58375.54,93000.0,37.24,Venda Direta Online,,RORAINOPOLIS,RR,2021-07-28 15:16:24.944876
1444408369895,"RUA DOS PERIQUITOS, N. S/N, LOTE 36 QD 12",,"Casa, 84.00 de área total, 0.00 de área privativa, 0.00 de área do terreno, 2 qto(s), 1 suite(s), WC, 1 sala(s), cozinha.",67830.01,138600.0,51.07,Venda Online,,RORAINOPOLIS,RR,2021-07-28 15:16:24.944876
10004459,"AV SAO JOAO, N. S/N, LOTE 140 QD 14 SETOR01",CENTRO,"Loja, 0.00 de área total, 300.00 de área privativa, 735.00 de área do terreno, 2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",83455.5,115000.0,27.43,Venda Direta Online,,SAO LUIZ,RR,2021-07-28 15:16:24.944876
