link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
10214912,"RUA VASCO ALVES, N. 464, QD 41, LT 13",CENTRO,"Casa, 0.00 de área total, 228.63 de área privativa, 508.80 de área do terreno.",568193.18,1006000.0,43.52,Venda Online,,ALEGRETE,RS,Não
1444408525455,"RUA ENI DAVILA FRAGOSO, N. 22, CASA",APARECIDA,"Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.",46507.5,151800.0,69.37,Venda Direta Online,,ALVORADA,RS,Não
8444429256001,"RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO",MARIA REGINA,"Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.",41967.41,95000.0,55.83,Venda Direta Online,,ALVORADA,RS,Não
8444400618479,"RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58",MARIA REGINA,"Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",46617.06,101000.0,53.85,Venda Direta Online,,ALVORADA,RS,Não
8444429692391,"RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401,",MARIA REGINA,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",40248.45,83000.0,51.51,Venda Direta Online,,ALVORADA,RS,Não
8444428679626,"RUA BARAO DE COTEGIPE, N. 149, Apto 104,",MARIA REGINA,"Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",82455.61,159021.0,48.15,Venda Direta Online,,ALVORADA,RS,Sim
8444433881063,"RUA EDISON DE OLIVEIRA, N. 518, Apto 304, BL 03 SUB-BL A",UMBU,"Apartamento, 43.56 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",65219.59,123000.0,46.98,Venda Direta Online,,ALVORADA,RS,Sim
8444429829222,"RUA 32, N. 191, Apto 102, QD 57 LT 1",PASSO DA FIGUEIRA,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",54522.84,94180.63,42.11,Venda Direta Online,,ALVORADA,RS,Não
8444428629637,"RUA ALDO RODRIGUES DA SILVA, N. 205, Apto 102,",JARDIM ALGARVE,"Apartamento, 0.00 de área total, 33.35 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",72988.41,126000.0,42.08,Licitação Aberta,,ALVORADA,RS,Não
8444429188685,"RUA CENTO E VINTE E TRES, N. 599, Apto 103, PV 1 LT 51 QD E12A",JARDIM ALGARVE,"Apartamento, 33.69 de área total, 30.39 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",78781.14,136000.0,42.08,Venda Online,,ALVORADA,RS,Sim
8444407748564,"RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K",TIJUCA,"Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.",46472.85,80000.0,41.91,Venda Direta Online,,ALVORADA,RS,Não
8444406534447,"RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31",APARECIDA,"Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",210825.13,362436.0,41.84,Venda Direta Online,,ALVORADA,RS,Não
8444425616208,"RUA NUMERO 142, N. 99, Apto 202, LT 41 LT E24",ALGARVE,"Apartamento, 0.00 de área total, 35.72 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",84950.68,145100.0,41.46,Venda Online,,ALVORADA,RS,Sim
8444436977355,"RUA CENTO E CINQUENTA, N. 234, Apto 202,",JARDIM ALGARVE,"Apartamento, 37.10 de área total, 31.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",87233.99,149000.0,41.46,Venda Direta Online,,ALVORADA,RS,Sim
8444419670654,"RUA JOSE LINS DO REGO, N. 1288, CS 1 LT 11A",MARIA REGINA,"Casa, 47.97 de área total, 45.84 de área privativa, 87.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",82550.28,141000.0,41.46,Venda Direta Online,,ALVORADA,RS,Sim
8444437760848,"RUA CAMPO VERDE, N. 709, Apto 302, LT 23 QD 32",MARIA REGINA,"Apartamento, 47.90 de área total, 42.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",87819.45,150000.0,41.46,Licitação Aberta,,ALVORADA,RS,Não
8444426086938,"RUA CENTO E QUARENTA E SEIS, N. 119, Apto 301, PAV 2/3 LT 44 QD E-22",JARDIM ALGARVE,"Apartamento, 33.68 de área total, 29.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",94815.14,160000.0,40.75,Venda Direta Online,,ALVORADA,RS,Sim
8444429774495,"RUA CENTO E VINTE E UM, N. 134, Apto 302, LT 13 QD E16A",JARDIM ALGARVE,"Apartamento, 29.37 de área total, 29.37 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",94815.14,160000.0,40.75,Licitação Aberta,,ALVORADA,RS,Não
8444431781045,"RUA CENTO E CINQUENTA, N. 226, Apto 202, LT 11 QD E-6D",JARDIM ALGARVE,"Apartamento, 41.76 de área total, 35.88 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",97778.11,165000.0,40.75,Licitação Aberta,,ALVORADA,RS,Não
8444435620011,"RUA VINTE E SETE, N. 223, Apto 103, BL 03 QD 57 LT 03",MARIA REGINA,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",97778.11,165000.0,40.75,Venda Online,,ALVORADA,RS,Sim
8444417912600,"RUA JOSE LINS DO REGO, N. 762, CS 01, QD G, LT 14",MARIA REGINA,"Casa, 71.25 de área total, 71.25 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",133930.31,221587.22,39.56,Venda Direta Online,,ALVORADA,RS,Sim
10218347,"RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13",AMERICANA,"Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.",226804.22,365000.0,37.87,Venda Direta Online,,ALVORADA,RS,Não
8787703011883,"RUA F, N. 130, Apto 502, BL 07 5° PAVIMENTO QD 15",PIRATINI,"Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",100696.78,150000.0,32.87,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8444425479502,"RUA  JOSE LINS DO REGO, N. 1253, CASA 02, LOTE 05",VILA MORUMBY,"Casa, 0.00 de área total, 45.70 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",124010.06,143000.0,13.28,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8787703259680,"RUA F, N. 130, Apto 202, BLOCO 05 2° PAVIMENTO BOX N° 01",LOT RES VALE VERDE,"Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",141714.46,150000.0,5.53,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8444427648352,"RUA CENTO E QUARENTA E SEIS, N. 277, Apto 201, PAV 02 LT 22 QD E1A",JARDIM ALGARVE,"Apartamento, 34.20 de área total, 29.15 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",160000.0,160000.0,0.0,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8444440117128,"RUA PRESBITERO JOAO FRANCISCO GOMES, N. 104, Apto 202,",JARDIM ALGARVE,"Apartamento, 36.69 de área total, 31.15 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",166000.0,166000.0,0.0,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8555529417998,"RUA JOZINO LIOTTI, N. 601, CS 314",JARDIM ALGARVE,"Casa, 143.98 de área total, 71.75 de área privativa, 100.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",266000.0,266000.0,0.0,Leilão SFI - Edital Único,,ALVORADA,RS,Não
8444419570510,"RUA FERNAO DIAS, N. 500, CS 01 QD 5 LT 26",FORMOZA,"Casa, 54.50 de área total, 50.49 de área privativa, 86.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",226598.96,226598.96,0.0,Leilão SFI - Edital Único,,ALVORADA,RS,Não
