link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444420114506,"R OSWALDO BARBOSA FERREIRA, N. 54, Apto 101-, BL A",ITINGA,"Apartamento, 0.00 de área total, 49.46 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",76978.32,233000.0,66.97,Venda Online,,ARAQUARI,SC,Não
8444431159859,"RUA SANTO ANTONIO, N. 420, CS 04",ITINGA,"Casa, 54.30 de área total, 52.24 de área privativa, 130.00 de área do terreno,  2 qto(s), a.serv, WC.",150014.6,245000.0,38.77,Licitação Aberta,,ARAQUARI,SC,Não
8444402057032,"RUA MARCIA DA MAIA VICENTE, N. 875, CASA 01",ITINGA,"Casa, 48.44 de área total, 45.04 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",226000.0,226000.0,0.0,Leilão SFI - Edital Único,,ARAQUARI,SC,Não
8787710239851,"RUA DAS CARPAS, N. 594, Apto 202, BLOCO E",ITINGA,"Apartamento, 50.05 de área total, 48.35 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",239000.0,213384.14,0.0,Leilão SFI - Edital Único,,ARAQUARI,SC,Não
8444432552791,"RUA 06, N. 63,",INDUSTRIAL,"Casa, 46.00 de área total, 46.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",210000.0,210000.0,0.0,Leilão SFI - Edital Único,,ARARANGUA,SC,Não
1444423293489,"RUA DAS ORQUIDEAS, N. 1047, LT 14 QD H",JARDIM DAS AVENIDAS,"Casa, 115.00 de área total, 64.00 de área privativa, 416.00 de área do terreno, 1 vaga(s) de garagem.",616398.38,600000.0,0.0,Leilão SFI - Edital Único,,ARARANGUA,SC,Não
1444422529233,"RUA JOSE ROBERTO PAULINO, N. 358, G10LOTEAMENTO CIDADE DAS AVENIDAS",MATO ALTO,"Casa, 69.77 de área total, 69.77 de área privativa, 240.00 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.",495063.88,350000.0,0.0,Leilão SFI - Edital Único,,ARARANGUA,SC,Não
10306959,"AVENIDA CASTELO BRANCO, N. 00, QD 12, LT 06",SANTA HELENA,"Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.",150000.0,150000.0,0.0,Leilão SFI - Edital Único,,BALNEARIO ARROIO DO SILVA,SC,Não
10307864,"RUA GONÇALVES TERTULIANO PEREIRA, N. 00, QD 39, LT 19",CENTRO,"Casa, 0.00 de área total, 194.08 de área privativa, 390.00 de área do terreno.",390000.0,390000.0,0.0,Leilão SFI - Edital Único,,BALNEARIO ARROIO DO SILVA,SC,Não
8555504849622,"RUA GARIBALDI, N. 683,",CENTRO,"Casa, 61.47 de área total, 61.47 de área privativa, 325.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",167000.0,167000.0,0.0,Leilão SFI - Edital Único,,BALNEARIO ARROIO DO SILVA,SC,Não
