link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
8444402154143,"RUA SAO CRISTOVAO, N. 461, Apto 410, ED FUTURO",CENTRO,"Apartamento, 0.00 de área total, 42.84 de área privativa, 0.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.",63615.36,137679.39,53.8,Venda Direta Online,,ARACAJU,SE,Não
8787701942928,"AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 3540, Apto 302, BL NANDINA",PORTO D'ANTAS,"Apartamento, 94.55 de área total, 43.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",76464.05,132000.0,42.08,Licitação Aberta,,ARACAJU,SE,Não
8787716571246,"AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 3661, Apto 104, BL FRESIA",PORTO D'ANTAS,"Apartamento, 98.10 de área total, 43.69 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",72988.41,126000.0,42.08,Licitação Aberta,,ARACAJU,SE,Não
8787715018250,"AVENIDA DOUTOR CARLOS RODRIGUES DA CRUZ, N. 445, Apto 402, BL 06",CAPUCHO,"Apartamento, 75.71 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",106667.03,180000.0,40.75,Licitação Aberta,,ARACAJU,SE,Não
8555536426859,"RUA JOAO DE DEUS OLIVEIRA, N. 397, Apto 705, BL 03",JARDIM CENTENARIO,"Apartamento, 92.01 de área total, 65.21 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",120882.7,200000.0,39.56,Venda Online,,ARACAJU,SE,Não
1555538979725,"RUA DIVINA PASTORA, N. 865,",GETULIO VARGAS,"Casa, 345.00 de área total, 127.40 de área privativa, 127.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",312596.16,516305.04,39.46,Venda Direta Online,,ARACAJU,SE,Não
8555511572924,"AVENIDA BRASIL, N. 47,",AMERICA,"Casa, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",108080.77,175000.0,38.24,Licitação Aberta,,ARACAJU,SE,Não
1444412129100,"RUA SAO JORGE, N. 150,",SANTOS DUMONT,"Casa, 190.00 de área total, 190.00 de área privativa, 240.00 de área do terreno,  7 qto(s), a.serv, WC, 3 sala(s), cozinha.",230132.94,310000.0,25.77,Leilão SFI - Edital Único,,ARACAJU,SE,Não
1555530786855,"RUA DO HORTO, N. 240, Apto 02,  EDF. JARANJEIRA",JABOTIANA,"Apartamento, 71.91 de área total, 60.39 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",251425.13,270000.0,6.88,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8444411404840,"ESTRADA DA JABOTIANA, N. 70, Apto 02, TÉRREO  BLOCO 11",JABOTIANA,"Apartamento, 44.25 de área total, 44.25 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",130000.0,130000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8787701850012,"RUA JASIEL DE BRITO CORTES, N. 847, Apto 402, BL CERRADO",JABOTIANA,"Apartamento, 103.11 de área total, 56.48 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",227000.0,227000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8787702222678,"RUA QUIRINO, N. 85, Apto 506, TORRE 01  ALAMEDA DAS ÁGUAS",INACIO BARBOSA,"Apartamento, 51.84 de área total, 51.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",200000.0,200000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8444428220178,"RUA PROJETADA 01, N. 110, Apto APT 3, BL 05 LOTEAMENTO MARIVAN",CENTRO,"Apartamento, 58.45 de área total, 58.45 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",150000.0,150000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8787705388259,"AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 4136, Apto 303, BL 004",PORTO D'ANTAS,"Apartamento, 57.39 de área total, 46.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",150000.0,150000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8787713926000,"AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 3661, Apto 303,  BL QUINOA",PORTO D'ANTAS,"Apartamento, 98.10 de área total, 43.69 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",150000.0,150000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
8555526614660,"RUA BOLIVIA, N. 385, Apto 04, BL 2",JAPAOZINHO,"Apartamento, 0.00 de área total, 48.76 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",120000.0,120000.0,0.0,Leilão SFI - Edital Único,,ARACAJU,SE,Não
