link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
1444421729441,"RUA JOSE DE OLIVEIRA JUNIOR, N. 670, LT 09 QD O",GOV MARIO COVAS,"Casa, 116.12 de área total, 116.12 de área privativa, 224.29 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",136584.86,217000.0,37.06,Venda Direta Online,,ADAMANTINA,SP,Não
1444421761531,"RUA MARIO IVO RENZO, N. 134,",BAIRRO DOS PIMENTEIS,"Casa, 50.90 de área total, 50.90 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",183546.52,288000.0,36.27,Licitação Aberta,,AGUAS DE LINDOIA,SP,Não
8444421916142,"AVENIDA JOSE COSTA, N. 1640, QD 13 LT 13",CENTRO,"Casa, 40.17 de área total, 40.17 de área privativa, 125.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",83135.75,142000.0,41.46,Venda Direta Online,,AGUAS DE SANTA BARBARA,SP,Não
8444421003120,"RUA OSWALDO LUCIO DA SILVA, N. 115, 0",JARDIM OLGA AYUB,"Casa, 130.00 de área total, 45.32 de área privativa, 239.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",313000.0,313000.0,0.0,Leilão SFI - Edital Único,,AGUDOS,SP,Não
8444427243875,"RUA SALADINO ANTONIO DE CAMPOS, N. 958, PARTE LT 42 ESTANCIA SANTA MARIA GLEBA",LUAR DO SERTAO,"Terreno, 0.00 de área total, 0.00 de área privativa, 193.24 de área do terreno.",153385.38,50000.0,0.0,Leilão SFI - Edital Único,,ALAMBARI,SP,Não
8787713989126,"RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 225, LT 51 QD 14",RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP,"Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",86063.06,147000.0,41.46,Venda Direta Online,,ALTINOPOLIS,SP,Não
8787714943618,"RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 75, 1466",RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP,"Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",97778.11,165000.0,40.75,Venda Direta Online,,ALTINOPOLIS,SP,Não
10006343,"ESTRADA VICINAL, N. SN, GLEBA 05, RANCHO S.R. STELLA",BREJÃO,"Imóvel rural, 0.00 de área total, 886.00 de área privativa, 20000.00 de área do terreno, WC, 1 sala(s).",521370.18,1150000.0,54.67,Venda Direta Online,,ALVARES MACHADO,SP,Não
8444426871104,"RUA JOAO DE AZEVEDO SOARES, N. 77, LOTE 15B QUADRA O",PARQUE RESIDENCIAL UNIAO,"Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.",36016.46,62000.0,41.91,Venda Online,,ALVARES MACHADO,SP,Não
8444425904823,"RUA INGLES DE SOUZA, N. 674, QD L1, LT 18",JARDIM PANORAMA,"Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.",33692.81,58000.0,41.91,Venda Direta Online,,ALVARES MACHADO,SP,Não
8444435719999,"RUA INGLES DE SOUZA, N. 1037, LT 09-C QD X1",JARDIM PANORAMA,"Terreno, 0.00 de área total, 0.00 de área privativa, 147.33 de área do terreno.",31369.17,54000.0,41.91,Venda Direta Online,,ALVARES MACHADO,SP,Não
