link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado,financiamento
10281979,"LOTEAMENTO MARIANÓPOLIS - GLEBA 08, N. 00, GLEBA II - LT 16",EST. STA VICTÓRIA II,"Imóvel rural, 0.00 de área total, 0.00 de área privativa, 589259.00 de área do terreno.",3815660.0,1829000.0,0.0,Leilão SFI - Edital Único,,ABREULANDIA,TO,Não
8444427106029,"RUA TOCANTINS, N. SN, LT 07 QD 32",LOTEAMENTO CEU AZUL,"Casa, 63.00 de área total, 63.00 de área privativa, 252.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",103704.06,175000.0,40.75,Licitação Aberta,,ARAGUAINA,TO,Não
8444426606770,"RUA 5, N. SN, LT 02 QD 09",LOTEAMENTO SANTOS DUMONT,"Casa, 75.27 de área total, 75.27 de área privativa, 240.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",131520.38,217600.0,39.56,Venda Direta Online,,ARAGUAINA,TO,Não
8787708909071,"RUA 5, N. SN, LT 03 QD 09",LOTEAMENTO SANTOS DUMONT,"Casa, 55.94 de área total, 55.94 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",200000.0,200000.0,0.0,Leilão SFI - Edital Único,,ARAGUAINA,TO,Não
1444415525155,"RUA JOAQUIM RIBEIRO MAGALHAES FILHO, N. 49, QD 02",centro,"Casa, 0.00 de área total, 144.35 de área privativa, 240.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",141620.24,225000.0,37.06,Licitação Aberta,,ARRAIAS,TO,Não
1444416152174,"AVENIDA JOAO PIRES DE CASTRO, N. SN, LT04 QD29",Centro,"Casa, 360.19 de área total, 360.19 de área privativa, 691.50 de área do terreno,  5 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.",305910.86,600000.0,49.02,Venda Online,,BRASILANDIA DO TOCANTINS,TO,Sim
1555537629143,"AVENIDA 21 DE ABRIL, N. SN, LT 10A QD 23",CACHOEIRINHA,"Casa, 368.80 de área total, 368.80 de área privativa, 645.59 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), 1 vaga(s) de garagem.",122737.54,195000.0,37.06,Venda Direta Online,,CACHOEIRINHA,TO,Não
1555530164129,"RUA HONORIO JOSE CARDOSO, N. SN, LT 01B PARTE DESMEMB LT 01 QD G",SETOR CENTRAL,"Terreno, 0.00 de área total, 0.00 de área privativa, 5717.66 de área do terreno.",189032.54,370000.0,48.92,Venda Direta Online,,DIANOPOLIS,TO,Sim
10309339,"AVENIDA SOUSA PORTO, N. 00, QD IX, LT 14",SETOR CENTRAL,"Terreno, 0.00 de área total, 0.00 de área privativa, 1291.50 de área do terreno.",260000.0,260000.0,0.0,Leilão SFI - Edital Único,,GOIATINS,TO,Não
10277487,"LOTEAMENTO POÇO AZUL, N. SN",MIRACEMA DO TOCANTIS,"Imóvel rural, 0.00 de área total, 0.00 de área privativa, 50000.00 de área do terreno.",395198.59,689000.0,42.65,Venda Direta Online,,MIRACEMA DO TOCANTINS,TO,Sim
1444416071956,"ALAMEDA 10, N. 19, QD ARSE-12 CJ QIB",PLANO DIRETOR SUL,"Casa, 326.00 de área total, 139.44 de área privativa, 364.00 de área do terreno,  5 qto(s), a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.",890380.57,1397082.36,36.27,Venda Direta Online,,PALMAS,TO,Sim
8787702798944,"RUA 1-B, N. SN, Apto 103, LT 09-A QD ACSUNE 50 BL 06 CJ 02 VG 45",LOT PALMAS 3ª ETAPA,"Apartamento, 78.60 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",237561.24,240000.0,1.02,Leilão SFI - Edital Único,,PALMAS,TO,Não
10288405,"QUADRA ARSO 101 AVENIDA LO 25, N. S/N, LT 13, Área ACSV SO 101",PLANO DIRETOR SUL,"Prédio, 0.00 de área total, 312.00 de área privativa, 0.00 de área do terreno.",1060000.0,1060000.0,0.0,Leilão SFI - Edital Único,,PALMAS,TO,Sim
1555503189981,"ALAMEDA 3 CJ L QD ARSE 12, N. SN, Apto 504, BL A",PLANO DIRETOR SUL,"Apartamento, 96.87 de área total, 49.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",417246.14,417246.14,0.0,Leilão SFI - Edital Único,,PALMAS,TO,Não
1555514957675,"RUA 12, N. SN, LT 16 QD 15",PARQUE DOS BURITIS,"Terreno, 0.00 de área total, 0.01 de área privativa, 5506.00 de área do terreno.",236671.88,456006.93,48.1,Venda Direta Online,,PARAISO DO TOCANTINS,TO,Sim
8444403502722,"RUA 14, N. SN, LT 07 QD 55",JARDIM AMERICA,"Casa, 52.00 de área total, 52.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",81801.8,135370.04,39.58,Venda Direta Online,,PARAISO DO TOCANTINS,TO,Não
1555524563734,"AVENIDA GOIÁS, N. SN, LOTE Nº 02 QUADRA QNE-43",SETOR CENTRAL,"Terreno, 0.00 de área total, 0.00 de área privativa, 443.00 de área do terreno.",466852.1,59000.0,0.0,Leilão SFI - Edital Único,,PONTE ALTA DO BOM JESUS,TO,Não
