estado,cidade,bairro,endereco,preco,avaliacao,desconto,modalidade,descricao,link,foto,first_time_seen,not_seen_since
AC,CAPIXABA,CENTRO,"Av. Gov. Edmundo Pinto, S-01 QD-04 LT 05-A",106000.0,145000.0,26.9,Venda Direta Online,"Terreno, 2580.00 de área total, 0.00 de área privativa, 2580.00 de área do terreno.",10002718,,2021-08-22,2021-09-03
AC,CAPIXABA,CENTRO,"Av. Governador Edmundo Pinto, N. 960, Qd 022, Lt 005, St 003",196000.0,392000.0,50.0,Venda Direta Online,"Outros, 290.00 de área total, 290.00 de área privativa, 299.20 de área do terreno.",1555533682007,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"Av. Desembargador Távora - Quarteirão n° 33, Lote 24, atrás do hotel SWAMY",130500.0,290000.0,55.0,Venda Direta Online,"Terreno, 500.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",1555505404006,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"ESTRADA DO AEROPORTO, N. 1, LOTE 01, QUADRA 02",260685.04,410000.0,36.42,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 2500.00 de área do terreno.",1444407188005,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"Lote nº 60 rural COLOCAÇÃO SÃO JOSE, N. 60, ROD. 307",122850.0,273000.0,55.0,Venda Direta Online,"Gleba, 0.00 de área total, 0.00 de área privativa, 15029.00 de área do terreno.",10002735,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"R BAHIA, N. 1635, LT 32, QUARTEIRAO 235-A",91235.96,167000.0,45.37,Venda Direta Online,"Casa, 126.75 de área total, 126.75 de área privativa, 300.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",8444405327456,Ver foto,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA DO GUARANÁ, N. 12, LT 12, QUARTEIRÃO SM-10",223515.6,308000.0,27.43,Venda Direta Online,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",10012129,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA DO GUARANÁ, N. 12, LT 12-A, QUARTEIRÃO SM-10",223515.6,308000.0,27.43,Venda Direta Online,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",10012128,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA DO GUARANÁ, N. 13, LT 13, QUARTEIRÃO SM-10",223515.6,308000.0,27.43,Venda Direta Online,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",10012127,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA DO GUARANÁ, N. 13, LT 13-A, QUARTEIRÃO SM-10",223515.6,308000.0,27.43,Venda Direta Online,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",10012126,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA DO GUARANÁ, N. 14, LT 14, QUAETEIRÃO SM-10",223515.6,308000.0,27.43,Venda Direta Online,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",10012125,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA MINAS GERAIS, N. 01, LT 20, QUARTEIRÃO 245",60233.1,83000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",10007022,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA MINAS GERAIS, N. 01, LT 21, QUARTEIRÃO 245",60233.1,83000.0,27.43,Venda Direta Online,"Terreno, 500.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",10007023,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA MINAS GERAIS, N. 01, LT 23, QUARTEIRÃO 245",60233.1,83000.0,27.43,Venda Direta Online,"Terreno, 500.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",10007020,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA MINAS GERIAS, N. 01, LT 22, QUARTEIRÃO 245",60233.1,83000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",10007024,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA PARANÁ, N. 01, LT 29, QUARTEIRÃO 245",67490.1,93000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",10007021,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA SANTA CATARINA, N. 01, LT 13, QUARTEIRÃO 245",64587.3,89000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",10007019,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA SANTA CATARINA, N. 01, LT 14, QUARTEIRÃO 245",32656.5,45000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.",10007018,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"RUA WILLYAN CHANDLESS, N. 27, QD 250, LT 27, ST 04-B, UND 896",102068.01,158000.0,35.4,Venda Direta Online,"Casa, 100.00 de área total, 100.00 de área privativa, 600.00 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem, 1 edícula.",1444409359508,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,CENTRO,"Rua Yaco, N. 1, Lote 11, Quadra 82",116112.0,160000.0,27.43,Venda Direta Online,"Terreno, 550.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",10005015,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"AV IDELFONSO CORDEIRO, N. S/N, SETOR 4-A, QD 70-B LOTE 23",75016.73,131000.0,42.74,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 400.00 de área do terreno.",10005119,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Estrada Nova Olinda, Sítio Fortaleza - Lt 92",592800.0,912000.0,35.0,Venda Direta Online,"Gleba, 129857.00 de área total, 0.00 de área privativa, 129857.00 de área do terreno.",1444403198855,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Estrada do Canela Fina - Parte 19, Desmembramento do Lote 174",76000.0,190000.0,60.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 1899.98 de área do terreno.",1555505399819,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"RUA DO PURUS, N. S/N, LOTE 13 QUARTEIRÃO 272",71118.6,98000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10005479,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11",71844.3,99000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10005121,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12",71844.3,99000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10005122,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10",71844.3,99000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10005120,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"RUA DOS PURUS, N. S/N, LOTE 14 QUARTEIRÃO 272",71118.6,98000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",10005480,,2021-08-22,2021-09-03
